,prompt,expected_completion,actual_completion
11487,"LIVE THE ADMIRAL LIFESTYLE! Every single one of our homes is equipped with quartz countertops, hardwood-style flooring, and beautiful stainless-steel appliances. Expansive windows offer unbeatable views of the city skyline, West Seattle neighborhood and Puget Sound views in selected homes. This breathtaking community is in the heart of West Seattle, Admiral Station Apartments is located in the Admiral neighborhood that combines a gorgeous residential area with trendy businesses and unique culture. Pet-friendly area in one of the most active, fun, and walkable areas of Seattle with Hiawatha Park right across the street. Our location is close to locally owned shops, eateries, neighborhood pubs, and grocery stores. Office Hours Monday – Friday : 10:00 AM - 6:00PM Saturday : 10:00 PM - 5:00 PM Sunday : Closed Pet Policy Cats allowed Dogs allowed Income Requirements: 2.5 We do not accept Comprehensive Reusable Tenant Screening Reports as defined by and pursuant to RCW 59.18. Equal Housing Opportunity Amenities: Admiral Station Apartments is a brand-new apartment community located across the street from Safeway and Hiawatha Park and steps away from PCC and Metropolitan Market. It is located on California Ave SW very close to Admiral Way. There are 49 apartment homes consisting a unit mix of Studio, Urban One Bedroom, One Bedroom and Two Bedroom Apartment Homes. The ground floor has 3 store front retail units. Every single one of the apartment home is equipped with quartz countertops, hardwood-style flooring, full capacity front loading washer and drier, AC ports, interior wood doors, large windows, solar shades, front lit and backlit vanity mirrors, USB ports and beautiful stainless-steel appliances. The amenities include a rooftop terrace with BBQ, fire pit and Wi-Fi, rooftop amenity lounge with media and unobstructed views, city views, mountain views and Puget Sound views, 24 Hour Luxor Package Lockers, designated rooftop pet park, pet grooming station, 24/7 Fitness Center, controlled access community, electric car charging stations, and bike club repair & Storage. Admiral Station Photos and/or floor plans shown are representational and may not depict the exact layout or features of the available unit. If currently occupied, the individual unit you've selected may not be available to tour. Please contact our leasing team with any questions. do NOT contact me with unsolicited services or offers Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
3033,"1020 West Casino Road, Everett, WA 98204 Nova North Apartments in Everett, WANova North Apartments offers a great location in Everett with close proximity to restaurants, shopping, and entertainment. Nova North is perfectly located minutes from the beaches and fine dining of Mukilteo and a few minutes from Boeing, making for an easy commute. Nova North residents enjoy swimming in the pool during the warm summer days and working out in the fitness center after a long day at work. For the avid golfer, the Walter E Hall Golf Course is just a walk away. People seeking a fun-filled afternoon can enjoy the playground or ball fields or head over to the Mukilteo Landing for waterfront activities. Bring your skateboard and spend some time at the skate park, or enjoy a run or bike ride on the Interurban Trail. Apartment Features: Stainless Steel Appliances Large Open Floor Plans Patio/Balcony Ceiling Fan Breakfast Bar Washer & Dryer Community Features: Cabana On-Site Laundry Translation Service Available Walk to Shopping Close to Schools Bike Storage Call: show contact info For more information, visit us at: <URL> *Pricing and availability are subject to change daily. Photos may not be of the exact advertised unit. Please contact us today for the most up to date information! Is rent cheap, average, or expensive? <SEP>
", cheap, average
2270,"34720 2nd Ln S, Federal Way, WA 98003 The modern, spacious and peaceful apartments in Federal Way at Fox Run are ideal for those wanting to live near the big city of Seattle, but who are looking for a quiet suburban lifestyle. With breathtaking views right here in the community, Fox Run will feel like home upon your first visit! Our spacious apartments in Federal Way feature island kitchens, large living areas, private patios and balconies and fabulous walk-in closets. Stay in for the night and enjoy our community amenities. Fox Run Apartments in Federal Way offer several community amenities that you are sure to love! With our heated swimming pool or hot tub you will always be able to enjoy your home and all that it has to offer. Contact us today, and we will take you on a personalized tour of your new home! We can't wait to welcome you home to Fox Run. Apartment Features: Stainless Steel Appliances * Walk-In Closets * Fireplaces * Patio/Balcony with Storage Cable Ready Kitchen Islands * In home Washer/Dryer Reserved Covered Parking Available Community Features: Clubhouse Heated Outdoor Swimming Pool Professionally Managed Easy Online Rent Pay Resident Clubhouse with Television Business Center Indoor Mail Area Parcel Lockers Call: show contact info For more information, visit us at: <URL> *Pricing and availability are subject to change daily. Photos may not be of the exact advertised unit. Contact us today for the most up-to-date information! Is rent cheap, average, or expensive? <SEP>
", average, average
3231,"PRICE ONE BEDROOM OR PRICE TWO BEDROOM PLUS GET AN ADDITIONAL PRICE OFF YOUR FIRST MONTH’S RENT!* *LIMITED TIME ONLY. MUST MOVE-IN BY 12/31/22. RESTRICTIONS APPLY. 1 & 2 BEDROOM APARTMENT HOMES Auburn Court is pleased to offer affordable senior living options (income restrictions apply). Nestled in the charming town of Auburn, WA, you’ll find Auburn Court, a comfortable and affordable apartment senior living community. Spacious 1 and 2 bedroom floor plans are outfitted with modern kitchens, ample closet space and expansive windows that bring in the area’s natural beauty. Beyond your door, workout at the onsite fitness center or connect with friends at one of our resident activities. When you prefer to get out and about, Auburn has everything! From a historic downtown with eclectic eateries, art and theater, shopping at The Outlet Collection, only 30 minutes from Seattle, and natural beauty among 28 parks and 23 miles of trails. Auburn Court senior apartments are convenient to WA-167, WA-18 as well as public transit, making getting around King County a breeze. Call Now: show contact info Interested in more information? See link below: <URL> This is a 1 Bedroom, 1 Bath, Approximately 431 Sq. Ft. Features - Carpeting in living rooms and bedrooms - Private patio or balcony* - Accessible homes available - Full-size kitchens with modern appliances - Courtyard views* - Abundant windows for added light - Ample closets with built-in organizers Community Amenities - Easy access to WA-167 and WA-18 - Elevator access - Laundry rooms on every floor - Across from Fred Meyer and minutes to downtown, shops, restaurants, and healthcare - Convenient resident parking - Pet friendly - Puppies and kittens welcome (breed restrictions apply) - Resident fitness center - Easily access public transit nearby - Calendar of social activities - Controlled-entry access - Professional onsite management - Share the air: smoke-free community - Landscaped courtyard with seating - Worry-free 24-hour onsite maintenance - Resident social lounge Pet Policy Pet friendly - Puppies and kittens welcome (breed restrictions apply). Please visit our website for additional details. Office Hours Monday, Tuesday, Thursday, Friday: 10:00AM-6:00PM Wednesday: 11:00AM - 6:00PM Sat/Sun: Closed Auburn Court 102 10th Street NE, Suite A, Auburn, WA, 98002 Photos on this ad may not reflect all floorplans. Advertised pricing and availability are subject to change without notice and cannot be guaranteed. Photos on this ad may not reflect all floorplans. Advertised pricing and availability are subject to change without notice and cannot be guaranteed. 2QxRTXBS Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
1259,"Metropolitan Park Welcomes You Home At Metropolitan Park Apartments, we offer spacious, beautifully designed, one and two bedroom homes featuring brand new interiors. Our homes have sleek stainless steel appliances, minimalist white European cabinetry, modern hardwood style flooring, plush high end carpeting, bright lighting, and smooth satin nickel finishes. With ample storage, full sized washers/dryers, and over-sized patios and balconies, Metropolitan Park meets all your needs and more. Metropolitan Park boasts a 95/100 walk-score, centrally located in International District, within walking distance to Downtown, Capitol Hill and Pioneer Square. Our location is the bridge between all that Seattle, WA has to offer. Take in breathtaking views of Puget Sound and Downtown from our rooftop deck, and you'll see just how much you have access to. Our 24 hour fitness center, complete with dry sauna, and our on-site 24 hour maintenance, make our community the perfect place for comfortable Seattle living. We are just an easy 5 minutes to King's Station, giving access to all Seattle metro's major bus and link routes. Whether you're explore the exciting culture of International District, taking a walk in Kobe Garden, or lounging on our rooftop deck, our community provides the space and location you need to have it all. Schedule a personalized tour of Metropolitan Park today to discover how much better life can be! Call Now: show contact info Use this link for more information: <URL> This is a 1 Bedroom, 1 Bath, approximately 490 Sq. Ft. Features - Views of Puget Sound* - Energy-Efficient Appliances - Cat and Dog Friendly - Range - Private Balcony or Patio - Spacious Floor Plans - Dishwasher - Fireplace - Washer/Dryer Hookup - Two Bathroom Options - Flexible lease Options - Refrigerator - Stainless-Steel Appliances* *In select apartment homes Community Amenities - Near Major Employers - Fitness Center - On-Site Management - Pet Friendly - WiFi Available - Online Rental Payments - Available Gated Garage with Electronic Entrance - Close to Park - Rooftop Deck - Recycling Center - Walkable Location Pet Policy Cats and Dogs Welcome Some Breed Restrictions Apply Income Requirements: 3x the monthly rent Office Hours Monday-Friday: 9 am to 6 pm Saturdays: 10 am to 5 pm Sundays: Closed *Tours Upon Appointment Only* Metropolitan Park 601 South Washington Street, Seattle , WA, 98104 Prices are subject to change, based on availability and qualification of the applicant, additional fees may apply. XKmZyvSnMCh5 Is rent cheap, average, or expensive? <SEP>
", cheap, expensive
8641,"Call Now - show contact info This is a 1 Bedroom, 1 Bath, Approximately 700 Sq. Ft. Check out out 3D tours here: 1 Bedroom - <URL> 1 Bedroom Loft - <URL> 2x1.5 Bedroom Large Renovated Townhome - <URL> The Commons at Federal Way apartment community is situated in the lush backdrop of beautiful Northwest landscape and peaceful surroundings. Featuring spacious one and two bedroom floor plans, each outfitted with tasteful cabinetry, inviting wood burning fireplaces and plentiful storage. Spectacular wooded and private views, along with an updated community center, onsite management and 24 hour maintenance are only a few of the many amenities you will experience at The Commons at Federal Way. Bordering Panther Lake Park our community is just minutes from Celebration Park, St. Francis Community Hospital & convenient to shopping. Easy access to I-5, SR 167, & Highway 18. Live in the perfect location with convenient access to restaurants, local conveniences and entertainment. Come experience what quality service and a comfortable home feels like at The Commons. Features: Private Patio or Balcony* Newly Renovated Apartment Homes* Upgraded Lighting Fixtures* Cable/Satellite Designer custom colored walls*, Black Appliances*, Custom Cabinetry* Community Amenities: Walking distance to upscale shopping, dining, grocery stores and more Pet Friendly Community Lush Landscaping Close to Public Transportation Close to Shopping Carports Available Greenbelt around the property Online Payments Available, Reserved Parking Available, Minutes from Puget Sound Beaches, Package Service, Hiking Trails/Jogging Trails/Walking Trails, 24-Hour Emergency Maintenance, Located near hospital, schools and businesses Pet Policy Pet friendly- breed restrictions apply. Income Requirements: 2.5 times the rent Interested in more information? Visit link below: <URL> ekJp7I7AF Is rent cheap, average, or expensive? <SEP>
", average, average
2187,"We can't wait to show you the rest of the story!! Be one of the first to tour this incredible home!! Call today to schedule your tour on Friday, October 7th. You won't be sorry!! Nestled in a quiet wooded setting with fine dining, superb shopping and the Seattle ferry only minutes away. Easy highway access makes your commute a dream come true! Call Now: show contact info x 44 OR Text 44 to show contact info to text our leasing team. More unit details at: <URL> This is a 1 Bedroom, 1 Bath, approximately 700 Sq. Ft. Features - Full size washers and dryers - Garbage disposal - Ceilings fans - Individual climate control in every room - Large foyers & 3rd floor vaulted ceilings - Window treatments - Big windows offer natural light - Over-sized balconies/patios with storage - Wood burning fireplaces - Breakfast bars & dining rooms Community Amenities - 24-hour on-call emergency maintenance - 48-hour work order guarantee - Community events - Courteous and helpful staff - Secluded from other apartment complexes - Convenient, central location - Cabana - Award winning school district - Large open units - Cardio room - Close to movies, restaurants and major mall - Easy Freeway Access - Outdoor, seasonal swimming pool - Walk to parks, schools and bus line - Seattle Ferry Access - Playground - Assigned covered parking - Valet Waste Trash Pick Up - Quiet wooded setting - Amazon lockers Pet Policy Pet friendly (no weight restrictions) Breed restrictions Income Requirements: Two and a half monthly rent Driving Directions From highway 3, exit Austin Drive and turn right ) from southbound hwy 3, exit Austin Drive and turn left over freeway). Erlands Point Apartments will be on the right with a shared entrance with the Naval Hospital. Office Hours Monday-Friday:8:30AM-5:30PM Erlands Point Apartments 3000 Austin DR, Bremerton, WA, 98312 EnMxH0hRaS Is rent cheap, average, or expensive? <SEP>
", expensive, cheap
4797,"Location, Location, Location! This home is located right in the heart downtown Kent. Close to train, bus lines, Sho-Ware Center, schools, community center and shopping. Just minutes to the SeaTac airport, downtown Seattle, Federal Way and Covington. Spacious living room, 1 bedroom, a bonus room, 1 bath with hardwood floors throughout. Laundry/mud room with full size washer/dryer (as-is), stove and refrigerator. Gas heat. Large fully fenced yard with fruit trees. Plenty of off street parking. POINT SYSTEM: Applications are processed on a point system and scored based upon factors including, but not limited to: rental history, income, employment eviction history and credit score. If your application does not meet my minimum qualifications, an additional security deposit may be required. MULTIPLE APPLICATIONS: In the case where i receive more than one application on a property, I will process ALL applications and approve the highest scored applicant. If your application is approved with less points, we do hold applications open for 60 days. You may apply your pre-approved application towards any of our other properties within those 60 days WITHOUT having to pay an application fee again, HOWEVER, we will need to be able to re-verify income. IF APPROVED: Please note, if approved, the Lanlord will require the deposit be paid by within 24 hours. Utilities are included in rent. Text for faster response : show contact info Bastian Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
9722,"Enjoy the Beauty of Fall! SLEEK, CONNECTED, VIBRANT Call Now: show contact info x 86 OR Text 86 to show contact info to text our leasing team. Hyde Square 2030 155th Place NE, Bellevue, WA, 98007 Follow The Link Below: <URL> This is a 1 Bedroom, 1 Bath, approximately 634-677 Sq. Ft. Hyde Square represents a new generation of modern, luxury apartments in Bellevue WA. Clean, European styling, contemporary design and the kind of amenities typically found in the buildings across the water. A home at Hyde Square puts you in the middle of what really matters in the Seattle area. Features - Available in most units - Modern, soft-close cabinetry - Tiled full-height kitchen backsplash - Full size, front-loading, stacked washers and dryers - Wood/vinyl flooring throughout living areas - Solid-surface quartz countertops - Stainless steel appliances - Vaulted ceilings in all apartment homes - Designer kitchen and bath plumbing fixtures - Private deck, patio or balcony - Tile tub surrounds Community Amenities - Luxurious landscaped courtyards - Pet spa and grooming area - Convenient package management - Clubhouse & gourmet kitchen - Barbeque and fire pit areas - Coffee lounge - Spin & yoga studio - Two sky lounges with rooftop access - Concierge services - Business hub - Tavern-style bar room - Wellness center with indoor sauna - Expansive private spa deck - State-of-the-art fitness center Office Hours Monday-Friday:9:00AM-7:00PM Saturday-Sunday:9:00AM-6:00PM We do not accept Comprehensive Reusable Tenant Screening Reports as defined by and pursuant to RCW 59.18. dOX4L1aGRhC Is rent cheap, average, or expensive? <SEP>
", average, expensive
10507,"Arista 4715 25th Ave NE, Seattle, WA, 98105 Call Now - show contact info x 129 OR Text 129 to show contact info to contact our leasing team. Want more info on this unit? See the link (below): <URL> Timeless design. Distinctive style. Splendid location. APARTMENT HOMES NOW PRE-LEASING 1 bedroom | 1 bath | 714 square feet Apartment Features: ✓  Two unique interior color palettes ✓  Air Conditioning in all homes ✓  Samsung gas range ✓  Covered, onsite parking available ✓  Large private outdoor terraces* ✓  Samsung stainless steel appliance package ✓  Modern finishes ✓  Studio, 1-bedroom, 2-bedroom, and 3-bedroom homes available *Only available in select homes Community Features: ✓  Located along the historic Burke Gilman 27-mile paved trail ✓  Massage room and infrared sauna ✓  The Faulkner Library Lifestyle team ✓  Rooftop terrace with fire pits and BBQs ✓  Proximity to UVillage shopping district ✓  State-of-the-art bike lounge and bike storage ✓  Pet park and spa ✓  Featuring a seventh-floor wine lounge ✓  World-class fitness studio, yoga and circuit room Community Info: For those who know that where we live, where we dine, and where we shop matter deeply. And who believe in the importance of our homes and surroundings, the people we spend our time with, and how we spend it. Arista is for that certain type of person who believes we must cultivate and tend to our most personal fascinations — timeless design, thoughtful curation, and distinctive style. Pet Policy: Pet Policy: Pet friendly Office Hours: Monday-Friday: 10:00AM-6:00PM Saturday: 11:00AM-5:00PM We do not accept Comprehensive Reusable Tenant Screening Reports as defined by and pursuant to RCW 59.18. Equal Housing Opportunity THl327IeF Is rent cheap, average, or expensive? <SEP>
", average, average
6005,"Cedar Park 12740 30th Avenue NE, Seattle, WA, 98125 Visit This Website to See More: <URL> Call Now: show contact info 1 & 2 BEDROOM APARTMENT HOMES FOR 61+ This is a 1 Bedroom, 1 Bath, Approximately 475 Sq. Ft. Cedar Park is pleased to offer affordable senior living (income restrictions apply). Located in the North Seattle only 4 miles from Shoreline, WA Cedar Park apartments provides a unique blend of urban conveniences and a suburban sense of community. With Easy access to bus lines, I-5, Northgate, Mountlake Terrace, and Lynnwood you can experience Washington at its best while living in an affordable and active senior community. Thoughtful 1- and 2-bedroom floor plans offer the ideal space for entertaining or relaxing. Surround yourself with fresh energy, new friendships, and convenient amenities at Cedar Park. Features - Accessible homes available - Ample closet space - Carpeting in living rooms and bedrooms - Private patio* - Full-size kitchens with modern appliances - Courtyard views* * Only available in select apartments Community Amenities - Worry-free 24-hour onsite maintenance - Calendar of social activities - Easy access to I-5 and WA-99 - Elevator access - Conveniently located near public transit - Convenient resident parking - Share the air: smoke-free community - Resident social lounges - Pet friendly - Puppies and kittens welcome (breed restrictions apply) - Laundry rooms on every floor - Controlled-entry access - Resident garden planters - Fitness center - Minutes to shopping, dining and healthcare - Professional onsite management Office Hours Monday, Tuesday, Thursday, Friday: 10:00AM-5:00PM Wednesday: 11:00AM–5:00PM Pet Policy Pet friendly - Puppies and kittens welcome (breed restrictions apply). Please visit our website for additional details. Income Requirements: Must make twice the rent amount Photos on this ad may not reflect all floorplans. Advertised pricing and availability are subject to change without notice and cannot be guaranteed. Equal Housing Opportunity E4Szf0J1tuzu Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
9118,"Byrd Drive, Steilacoom, WA 98388 Harbor Oaks Apartments in Steilacoom, WASurrounded by natural beauty and history, Harbor Oaks sits in the heart of Steilacoom, Washingtons first incorporated city. Harbor Oaks offers spacious and beautifully designed one, two, and three-bedroom apartment homes with craftsman style finishes, and details that count. The Steilacoom Ferry Terminal is just minutes from the community, and the public beaches and endless coastal views make living here a pleasure year-round. Along with excellent schools, nearby shopping malls, and access to major cultural and economic centers like Tacoma, you couldnt ask for a more idyllic setting and the perfect community to call home. Apartment Features: Hardwood-Like Flooring Dishwasher 15-ft Vaulted Ceilings Oversized, Energy Efficient Windows High-Speed Internet Walk-In Closets Community Features: Close to Running Trails Minutes to Pierce College Zero Deposit Community Swimming Pool Translation Service Available Flexible Monthly Payments with Flex Rent Call: show contact info For more information, visit us at: <URL> *Pricing and availability are subject to change daily. Photos may not be of the exact advertised unit. Please contact us today for the most up to date information! Is rent cheap, average, or expensive? <SEP>
", expensive, average
9979,"Bogtown Flats 9039 Greenwood Ave N, Seattle, WA, 98103 Call Now - show contact info x 33 OR Text 33 to show contact info to contact our leasing team. Need more information? Copy this link: <URL> A Warm Familiarity and a Bit of the Unexpected. This is a 1 Bedroom, 1 Bath, Approximately 665 Sq. Ft. The Hidden Gem of Greenwood-Bogtown Flats! Please call to schedule your personalized tour today. From humble beginnings to its mainstay as one of Seattle's best neighborhoods for dining, shopping, or simply grabbing a beer at a brewery or a boutique bar or restaurant, you'll be excited to call Bogtown Flats your new home. You'll have everything from Yoga studios to grocery shopping just a block away. Come see what everyone is talking about at Bogtown Flats today! Pet Policy Maximum of 2 Pet(s) with Dog/CatPet Rent PRICE monthly. PRICE Pet Deposit. Must Be Spayed/Neutered Max Weight 35lb each Income Requirements: All applicants must have a combined gross monthly income of at least 2.5 times the monthly apartment rent. Driving Directions: Call for directions Office Hours: Monday-Friday: 8:30AM-5:30PM fS8ARSmrv4 Is rent cheap, average, or expensive? <SEP>
", cheap, average
9813,"EdgePoint 320 N 85th Street, Seattle, WA, 98103 Call Now - show contact info x 125 OR Text 125 to show contact info to text our team. Interested In This Unit? Use this link for more details: <URL> Find Your New Home Today! This is a 1 Bedroom, 1 Bath, Approximately 785 Sq. Ft. Discover your new home at EdgePoint in Seattle’s Greenwood neighborhood! Our new apartment home community includes open one bedrooms, traditional one bedrooms, one bedrooms with dens & two bedrooms! Homes will feature designer finishes including stainless steel appliances, quartz counter tops, walk-in closets* & mountain views*. Community amenities include a rooftop deck with mountain views, clubroom, fitness center, bike storage, pet spa, dog run and electric vehicle parking. Being located in the heart of Greenwood your favorite grocery stores, shopping and dining are just steps away. We can’t wait to welcome you home to EdgePoint! Pet Policy Pet friendly Office Hours: Monday-Friday:9:00AM-6:00PM Saturday:10:00AM-5:00PM We do not accept Comprehensive Reusable Tenant Screening Reports as defined by and pursuant to RCW 59.18. BMoBSOZVW8 Is rent cheap, average, or expensive? <SEP>
", expensive, average
5284,"MOVE IN SPECIAL : 6 Weeks Free on a 12 month lease or longer Smith & Burns Apartments 4455 Interlake Ave North, Seattle, WA, 98103 Call Now - show contact info x 82 OR Text 82 to show contact info to contact our leasing team. Interested in more information? Visit link below: <URL> Now Offering In-Person Tours! This is a 1 Bedroom, 1 Bath, Approximately 826 Sq. Ft. Smith & Burns is a well-crafted community in the heart of Wallingford, WA. Located at 45th and Interlake Ave. N. you will experience true convenience and ease of living at Smith & Burns. A quality grocer, dozens of cafes, and unique boutique retail is all within a couple blocks. Feel wonderful about supporting local business and have a great time while doing it! Inside Smith & Burns, Bauhaus inspired interiors paired with local found objects, salvaged materials, and custom art create a warm environment that truly speaks to the eclectic and friendly nature of Wallingford. LEED certified, Smith & Burns is dedicated to sustainable, green living. As a resident you will enjoy privileged access to the fitness center, library, lounge, rooftop deck, coffee bar, and creative entertainment spaces! Many special touches make Smith & Burns unique like you! Live at Smith & Burns and Love Your Home! Pet Policy 2 pet max No Breed Restrictions Driving Directions: Located on the corner of N 45th St and Interlake Ave N Office Hours: Monday-Friday:9:00AM-6:00PM Saturday:10:00AM-5:00PM SJR7zIEvw4 Is rent cheap, average, or expensive? <SEP>
", expensive, average
5934,"Pembrooke Apartment Homes 25907 27th Place South Kent, WA 98032 Monday: 10AM-5:30PM Tuesday: 9AM-5:30PM Wednesday: 9AM-5:30PM Thursday: 9AM-5:30PM Friday: 9AM-5:30PM Saturday: 9AM-5:30PM Sunday: 10AM-5:30PM Embrace one of Washington’s finest communities, Pembrooke Apartment Homes. Located just minutes from Interstate 5 and Highway 99, Pembrooke is convenient to the Highline Community College and leading employers in Kent, Federal Way, Des Moines and Sea Tac. With our private decks and patios, wood burning fire places, sparkling pool, and off leash dog park you will discover why Pembrooke Apartment Homes provides the best possible home at an affordable price. Our commitment to excellence is your key to better living. Managed by CTL Management, Inc. Community Amenities BBQ Area • Carports • Fitness Center • Jogging Trail • Outdoor Seasonal Pool • Playground • Wi-Fi And Resident Lounge • Free Movie Rental Program • Off Leash Dog Park • Online Rent Payments • Online Service Requests Amenities Private Patios And Decks • Updated Units With Satin Nickel Finishes In 70% Of The Units • Washer and Dryer • Wood Burning Fireplace Pets - Max 2 allowed, Max weight 25 lb each, Rent PRICE, Deposit PRICE Comments: Only indoor adult cats and indoor adult dogs are allowed; adult is defined as at least one year old. Deposit and monthly pet rent are per pet. Small caged animals are allowed without a deposit and pet rent. Small caged animals that are allowed are common domesticated household birds, hamsters, gerbils, rabbits, guinea pigs, chinchillas and aquarium/terrarium animals including fish, hermit crabs, turtles, frogs, and small lizards. Animals such as birds of prey, iguanas, ferrets, snakes, rats, mice, insects, arachnids (including spiders and scorpions), livestock, or any other exotic animals are not allowed. No animals are allowed that are venomous, biting, stinging, constricting, or pose a threat of infestation. Small animals are limited to a maximum of two, with the exception of fish which should be kept to a reasonable amount, and must be kept confined in appropriate and reasonably sized cages or aquariums/terrariums. Resident shall not have more than three aquariums and the total combined capacity between all aquariums shall not exceed 40 gallons. Want more information? Phone: show contact info URL Text: <URL>?rcstdid=MzM%3d-dkCsfkCKtXI%3d Federal law prohibits housing discrimination on the basis of race, color, national origin, religion, sex, familial status, or disability. Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
9087,"8200 Bridgeport Way Southwest, Lakewood, WA 98499 Timbre Apartments in Lakewood, WASurrounded by beautiful trees and greenery, Timbre Apartments offers one, two, and three-bedroom floor plans conveniently located in Lakewood. Residents enjoy spending time in the clubhouse working remotely, playing shuffleboard and foosball, and outdoor swimming in the pool, playing cornhole and sitting by the fire pits. Our community is conveniently located in Lakewood, near restaurants, grocery stores, and schools such as Dower Elementary, Lochburn Middle, and Clover Park High School. Schedule your tour today to see why so many people love calling Timbre Apartments home. Apartment Features: Gas Range Private Patio/Balcony Oversized Closets Dishwasher Washer/Dryer Fireplaces in select homes Community Features: Bocce Ball Fitness Center Cornhole Beautiful, Wooded Nature Setting Resident Lounge Pet Friendly Call: show contact info For more information, visit us at: <URL> *Pricing and availability are subject to change daily. Photos may not be of the exact advertised unit. Please contact us today for the most up to date information! Is rent cheap, average, or expensive? <SEP>
", expensive, average
2598,"Sutters Square 12221 Airport Rd, Everett, WA, 98204 Use this link for more info: <URL> Call Now: show contact info x 33 OR Text 33 to show contact info to contact our team. Welcome to Sutter's Square This is a 1 Bedroom, 1 Bath, approximately 661 Sq. Ft. Sutter’s Square offers the best living in Everett, Washington. Our spacious one and two bedroom apartment homes feature fully equipped kitchens, decks or patios with storage, and wood-burning fireplaces with custom mantles. Residents of Sutter’s Square Apartment Homes also enjoy a resort like outdoor pool, mature landscaping, and year-round outdoor spa. We are conveniently located in Everett, WA close to I-5 and highway 99 with easy access to an array of restaurants and shopping centers such as Harbour Pointe Shopping Center and Everett Mall. Sutter’s Square is also minutes away from the Port of Everett Marina, Boeing, and the US Navy Base. We invite you to discover the very best living at Sutter’s Square! Features - Wood-Burning Fireplace - Built In Desks - Fully Equipped Kitchens - Open Floor Plan - Washer & Dryers In Unit - Patio/Balcony With Attached Storage Community Amenities - 24 Hour Emergency Maintenance - Covered Parking Available - Year Round Outdoor Spa - Detached Garage Available - Seasonal Outdoor Pool - Storage Units Available Office Hours Mon, Wed, Fri:9:00AM-6:00PM Tue, Thur: 10:00AM-6:00PM Saturday:10:00AM-5:00PM Pet Policy Pets - Max 2 allowed, Max weight 50 lb each, One time Fee PRICE, Refundable Deposit PRICE. Comments: Breed Restrictions apply. Photos and/or floor plans shown are representational and may not depict the exact layout or features of the available unit. If currently occupied, the individual unit you've selected may not be available to tour. Please contact our leasing team with any questions. 8VCyI3fj Is rent cheap, average, or expensive? <SEP>
", cheap, average
1650,"Up to 8 weeks free on select homes. Restrictions apply. Contact our leasing office for details. BRAND NEW LUXURY APARTMENTS IN KIRKLAND Thoughtfully designed floor plans, sleek modern finishes, and smart home technology come together to create a blueprint for effortless living within the center of a vibrant new village in Kirkland, WA. Welcome home to our spacious Studio, 1, 2 and 3 bedroom apartments at Aspect at Totem Lake. Call Now: show contact info Use the link below for more details: <URL> This is a 1 Bedroom, 1 Bath, approximately 660 Sq. Ft. Features - Chef-caliber Gas Range - Polished Quartz Countertops - Tile Bath Surround - Tile Kitchen Backsplash - In-home Washer and Dryer - Wood-style Plank Flooring in the Living Areas - Quartz Vanity Top - Private Patio or Balcony* - Built-in Microwave - Dishwasher - Keyless Front Door Entry - Stainless Steel Appliances - Air Conditioning with Programmable Thermostat - Kitchen Island with Decorative Pendant Lighting* - Walk-in Closet* - Dual Sink Vanity* - Glazed Porcelain Tile Bathroom Flooring *In select apartments Community Amenities - Dog Wash with Self-grooming Area - Kitchen - Game Area with Arcade Games, Pool Table, and Foosball Table - Relaxing Outdoor Fire Lounges - Kayak Storage - Outdoor Dining and Grilling Areas - Minutes from the Totem Lake Transit Center - HD Golf Simulator - Easy Access to I-405 - Hub by Amazon: Package Lockers with 24/7 Access to Packages - Share the Air: Smoke-free Community - Social Lounge - State-of-the-art Fitness Center - Grilling Pavilion - Virtual Moving Concierge - Pet-friendly - Multiple Co-working Lounges - Controlled-entry Parking Garage - Located in The Village at Totem Lake Putting High End Shopping, Dining, and Entertainment at your Doorstep - Resort-style Pool Deck - Private Meeting Space - Bike Storage and Bike Wash Pet Policy We are pet friendly! Please contact us for more details. Office Hours Monday - Friday: 10am - 7pm Saturday: 10am - 5pm Sunday 12pm - 5pm Aspect at Totem Lake Apartments 12540 120th Ave NE, Kirkland, WA, 98034 Photos on this ad may not reflect all floorplans. Advertised pricing and availability are subject to change without notice and cannot be guaranteed. Photos on this ad may not reflect all floorplans. Advertised pricing and availability are subject to change without notice and cannot be guaranteed. k4wLMDho9 Is rent cheap, average, or expensive? <SEP>
", expensive, cheap
