,prompt,completion,actual_completion
2161,"PROPERTY INFO ID: 316524303 Rent: $2,400 / Month Beds: 2 Bath: 1 Available Date: 02/15/2023 Pet: Cats & Small Dogs Only Rent Includes:: Water Parking:: no parking All New Gut Rehab Awesome Lakeview Location Designer Kitchen Stainless Steel Appliances In Unit Laundry Looking for something else? Check out all my other available apartments here and let me know which of them you'd like to tour! https://ygl.is/Hadi Hadi Sharabi Realtor® MLS ID: 887241 ▪︎ The Apartment Source (773) 272-1860 Hadis@ <URL> 2533 W. Fullerton Ave. Chicago, IL 60647 <URL>/ The Apartment Source Call or text: 773.272.1860 -=>", 2001-2500, 2001-2500
1593,"445 W. Barry Lakeview Comfortable and convenient convertible studio in the heart of East Lakeview features cooking gas included, rehabbed kitchen, spacious living area, individually controlled AC unit, rehabbed bathroom, great closet space, laundry in unit, pets welcome, and parking is available! Walk to shops, restaurants, nightlife, and transportation! UA1701 Please Call Timothy Weinert at 215/499-1336‬ to schedule an appointment to view this apartment and mention Apartment ID: 23792. Urban Abodes 215/499-1336‬ <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing -=>", 1501-2000, 1001-
3189,"Call or text Dan at Apartment Guys at 773-490-0966 and ask for reference #2202716. This wonderful 1200 SQ Ft Uptown two bedroom/two bathroom is located in an amenity hi-rise building with an outdoor pool, door staff and a bike room! The unit itself has an updated kitchen with granite countertops and stainless steel appliances including a dishwasher and it also has magnificent views of the lake and plenty of sunshine with East, South and West exposure. The rent includes free basic cable and internet! Tenant pays for electricity and heat. Very close to Lake Shore Drive. 2 minute walk to Foster Ave beach and bike paths. Sorry no pets allowed. Prices are subject to change. * For faster response best to call or text 773-490-0966 with reference #2202716 -=>", 2001-2500, 2001-2500
768,"Contact Us to Schedule a Tour! This is a modern 32-story tower with stylish residences inspired by the neighborhood. With unparalleled amenities and innovative services, this amazing place offers the best of everything. The historic neighborhood of Old Town is located in the North Side of Chicago. Its buildings date back to the Victorian era, but the pace is anything but old-fashioned. Old Town is lively both day and night – residents enjoy the cool, eclectic shops as well as rustic taverns along Wells Street. When you first step into the community, you’ll probably notice the iron “Old Town” sign. You’ll also discover the diversity here, both in food and culture. The comedy zone is a great place to go for a good laugh – check out the Second City or Zanies Comedy Club for weekly shows. In addition to the eclectic shops along Wells Street, residents find comfort in the local market where they can purchase fragrant spices, imported oils, and blended wines. Many family-owned restaurants reside here - from pizza parlors to steakhouses and sushi. The building and apartments are all top notch. The gym is great and has everything you need (weights, bench, squat racks, pelotons, rowing machines, treadmills, etc), the pool and outdoor decks are amazing, and the rooftop in tower 3 gives you the best views in the city. It's also a very dog friendly building with a park in the building and a larger park right outside the building. PROPERTY INFO ID: 303215308 Rent: $2,257 / Month Beds: 1 Bath: 1 Available Date: 08/28/2022 Pet: Pet Friendly -=>", 2001-2500, 2001-2500
3711,"Move into this amazing studio apartment where you can enjoy using the complimentary FIBER internet and relaxing on the sundeck! Near the Chicago Red Line Station, Gino's East Pizza and Rosebud Steakhouse. Everything you will need is outside your door as well as amazing building features to make it feel like home. Building Amenities: -On site management -Responsive 24 hour engineer -Laundry -Fitness Center -Complimentary internet Includes: -Trash -Cooking gas -Water Features: -Stainless Appliances -Complimentary FIBER Internet -Sundeck with amazing views -No security deposit -Granite Countertops -=>", 1001-1500, 1001-
2954,"PROPERTY INFO ID: 2893384 Rent: $2,950 / Month Beds: 3 Bath: 2 Available Date: 04/01/2023 Pet: Pet Friendly Rent Includes:: Garbage, Water Parking:: no parking Large 3 Bed 2 Bath Featuring: - Hardwood Floors - Central Heat & A/C - Huge Equal Size bedrooms - Tons of Closet Space - Living Room and Dining Area - Open Kitchen with Stainless Steel Appliances and Maple Cabinets - Laundry in Unit - Very Easy Street Parking - Amazing LOCATION: Close to 90/94, steps to the Division Blue Line stop at Division/Ashland/Milwaukee FEATURES Central Air Central Heat Dishwasher Hardwood Floors High-speed internet Renovated Stove TMG The Apartment Source Text for quicker response 773-404-9900 -=>", 2501-3000, 2501-
3670,"Available now a 1-bedroom, 1-bathroom penthouse cable-ready apartment with wall-to-wall carpeting, all appliances, central heat/A/C, with a lake view. All utilities included, management office and laundry room on site, community room, 24 hour 7-Eleven convenience store and hair salon. Income restrictions apply. For more information, specials and qualifications, please call the Management Office Mon.-Fri. between 10 a.m. and 4 p.m. at (773) 281-1207. Viewing by appointment only. Call us and come see your new apartment home!! -=>", 1001-1500, 1001-
3237,"Tri level home with master bedroom, master bath and walk in closet.two other bedrooms and two more complete bathrooms. Large inclosed sunroom with ceramic tile floor, living room, dining room, attached garage and family room. -=>", 2001-2500, 2501-
3920,"Top floor 3 bedroom apartment in beautiful Graystone building! Hardwood floors throughout, large kitchen with stainless steel appliances, separate dining room with antique built in! Main bedroom is large enough to comfortably fit a king sized bed and large dresser. Second bedroom comfortably fits a queen sized bed. Third bedroom is a great size for an office. Great closet space. Enclosed backyard, really great natural light from west facing bay windows Easy street parking, or the garage space is available for $150 a month. Coin laundry in basement, shared back yard. Fantastic Logan Square/Avondale location, just 1 block to 90 and walkable to restaurants and shopping. Less than 15 minute walk to the Logan Square Blue Line station. 12-18 month lease, no smoking in unit, no cats, credit and background check required. Landlord pays water, sewer and trash. Tenant is responsible for electric and gas. -=>", 1501-2000, 1501-
2248,"PROPERTY INFO ID: 31168663 Rent: $2,236 / Month Beds: 1 Bath: 1 Pet: Pet Friendly Tour: Call/Text Azalia @ 630.853.6340 Properties like this are one of the main reasons more people than ever are calling the South Loop home. This smart, unique mid-rise combines the best of modern buildings with the traditional warmth and feel of a loft-style space. Situated in the heart of Printer’s Row, it offers incredible access to transportation, with walking access to every CTA train in less than 10 minutes and just a few blocks’ drive to the 90/94 and 290 Expressways. Stroll to endless shopping, including Target and Whole Foods, restaurants such as Umai, Blackie’s and Hackney’s and tons of boutique shops and bars. Stay on-site and enjoy the sundeck and outdoor pool, full-service fitness center with private yoga studio, and multiple lounge areas for TV, billiards, cooking or business. There’s even outdoor grilling stations and fire pits. This 100% smoke-free building is also a LEED Silver & ENERGY STAR® Certified community and has a 24-hour security door staff. It’s hard to enter these apartment homes and not be drawn to the 10’ ceilings with exposed concrete and duct work. Kitchens include stainless steel appliances with either slate gray or espresso cabinets and designer backsplashes. Hardwood flooring, resident-controlled and programmable thermostats and full-size stackable washers and dryers come standard in every apartment. Some units come with exposed brick and balconies, as well. Parking is available on-site at an additional charge and there is permit street parking within walking distance. Cats are accepted throughout and dogs are welcome on select floors (dog breed and weight restrictions apply). They have a private dog run as well. FEATURES Balcony-Some Units Central Air-Yes Dishwasher-All Dogs-Weight Limit Flooring-Hardwood Only Laundry- W/D In Unit Lofted (Open)-Some Bedrooms Luxury Property Pool-Outdoor Security-24 Hour Doorman Smoking-No Stove-Gas Azalia Allen 630-853-6340 HotSpot Rentals(License #481.011892) Disclaimer: Photos may not be of exact unit available and may be of various model units and various vacant units. Apartment availability and lease terms may vary. Pricing, availability, and specials are subject to change at any time and without notice. Please note that the price may be net effective of a special or concession that the building is currently running. Information is believed to be accurate, however, is subject to errors and omissions. HotSpot Rentals services the following neighborhoods: South Loop, Printers Row, Near North, River North, Gold Coast, West Loop, Fulton River District, West Loop Gate, The Loop, Streeterville, Lakeshore East, New East Side, Old Town, Medical District, University Village, Near North, River West, Lincoln Park South, Lakeview, Uptown, Ukrainian Village, Wicker Park, Edgewater, Ravenswood, Bronzeville, Logan Square -=>", 2001-2500, 2001-2500
284,2 bedrooms 1 bathroom in heart of Bucktown Utilities included Central air Hardwood floors SS Appliances Granite countertops Laundry in the building Security cameras outside 500$ moving fee No pets Available August 1 Free street parking Option monthly rent Option to rent furnish -=>, 1501-2000, 1501-
1908,"Amazing 4BD/2BTH Duplex in Humboldt Park. Unit features hardwood floors throughout, central A/C, fully equipped kitchen with stainless steel appliances and best off all, In unit laundry! Spacious bedrooms, good closet space and a great back deck! Pets are allowed (with an additional one time, non refundable pet fee dogs $500, cats $300) Parking is available for extra (Detached garage) for $150.00 per month. Apartment is located in Humboldt Park, it's close to public transportation ( buses 72 and 82) AVAILABLE NOW! MOVE IN FEE WILL APPLY - 30% of the rent! $50 Application Fee ( per person ) No previous evictions. Must have 650+ Credit. Tenants pay for gas, heat and electric VIDEO OF THE UNIT <URL> CONTACT: AGUSTIN (312) 776-4655 -=>", 2501-3000, 2501-
3935,"3 Bed / 3 Bath duplex down in hot Logan Square neighborhood. This two-floored unit was recently renovated with modern touches. Open concept living, dining, and kitchen space is great for entertaining. Kitchen and dining area opens up to a private deck and large backyard with native plants and space for growing herbs, fruits and vegetables. Private two car garage off the backyard with plenty of space for storage. Lives like a single-family home! First floor features a light-filled office or bedroom, primary bedroom with en-suite bathroom and plenty of space for a king size bed and dresser. Closet in the hallway features shelves and cubbies for organization. The second bathroom boasts a jetted tub and shower. The lower floor has a second living room with a bar and fridge, fireplace and open shelving. Off the living space is the third bedroom and full bath. Perfect for separate living spaces or relatives visiting for extended stays. Large mud room with laundry, new cabinetry, and multiple closets. Plenty of storage! Excellent location between Logan Square, Wicker Park, and Ukrainian Village. Just blocks from The 606, Humboldt Park, and the Blue Line. -=>", 3501-4000, 4001-
981,"3248 N. Clifton Lakeview Brilliant two bedroom, one bathroom in Lakeview features updated kitchen with granite countertops, dishwasher, microwave, spacious living area, large bedrooms, great closet space, hardwood floors, rehabbed bathroom, central heat and air, in-unit laundry, and pets welcome! UA1701 Please Call Aleksandra Chadiev at 224/322-5494‬ to schedule an appointment to view this apartment and mention Apartment ID: 30956. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing -=>", 2001-2500, 2001-2500
538,"Excellent spacious unit in a newer elevator building! Great floor plan with flexible space and fantastic closet and storage space. Foyer with large closet leads to a real laundry room with storage! The kitchen offers granite counters, under cabinet lighting new refrigerator, new microwave, and other stainless steel appliances. The living and dining room feature engineered wood floors, crown molding and a gas fireplace! The serene bath offers a whirlpool tub so you can let the day melt away! The bedroom is large enough to accommodate a bedroom set and an office space plus there is a walk in closet with organizers to maximize the space! 1 garage space included in this super convenient location only 1 block to the Foster EL stop, Mariano's and just a few blocks from the lake! -=>", 1501-2000, 1001-
3037,"PROPERTY INFO ID: 317011932 Rent: $2,800 / Month Beds: 4 Bath: 2 Available Date: 03/01/2023 Pet: Pet Friendly Rent Includes:: Hot Water Parking:: attached garage Brand new gut rehabbed apartments are available 3/1!All updated stainless steel appliances, pet friendly, hardwood floors through out, completely redone bathrooms, and separate dining and living area. Sprawling space for anyone looking for a deal and the space to enjoy your living arrangements. In-unit laundry so no finding a laundromat!Great location in Albany Park, 1 block from the Brown Line. Close to the river front trails that will lead you from north to Bucktown. Amazing restaurants for all of you foodies who want a changes of pace. Quiet tree lined street with easy street parking, or garage parking available for $200 per month. These will go fast so jump on it before they are gone! Super great deal for the space *pics may be of another unit in the building, will update as progress comes. I know they aren't the best, but it will be gorgeous! 3rd, 2nd, and 1st floor available, inquire about pricing 3 bed 2 baths are available as well, inquire about pricing for those! -=>", 2501-3000, 2501-
303,"This gorgeous top floor corner condo in a solid all-brick boutique elevator building checks all the boxes. With incredible southern exposure, it gets tons of natural light throughout and includes a private balcony off the main living area with views of the Chicago skyline. Street noise isn't even audible on the balcony since it's so far away from North Avenue. The extra wide floor plan of the open concept main living area allows for first class living and dining setup plus space for a home office. Tasteful oak hardwood floors throughout. Exquisitely finished and redecorated, this unit is extremely well maintained and in true move-in ready condition. All rooms are spacious. Includes in-unit laundry. Close to transportation (CTA blue line and bus), the 606 trail, restaurants, park and more. This unit also has roof access and includes a garage parking spot. Won't last long! -=>", 3001-3500, 2501-
1798,"FOR FASTEST RESPONSE CALL OR TEXT 419.351.5326 PROPERTY INFO ID: 275934531 Rent: $1,926 / Month Beds: 2 Bath: 1 Available Date: 03/03/2023 Pet: Pet Friendly Rent Includes:: Water This well maintained building is located in the Uptown neighborhood steps from restaurants, shops, the lake, and transportation. The beautiful Chicago Lakefront Trail is only a ten minute walk from this building and provides over 18 miles of walking/biking/running path along picturesque Lake Michigan. Montrose Beach is also within walking distance of this building. The Wilson Red Line Stop is only a four minute walk away and provides service to the Loop, Evanston, Lincoln Park, Lakeview, and more. This unit is a spacious two bedroom apartment with one bathroom, good natural light, and plenty of closet space. The kitchen is updated with stainless steel appliances and granite counter tops. Water is included in the rent, laundry is located on site, and no security deposits are required. Prices change daily. Contact us for latest pricing and availability. FEATURES Cats OK Dishwasher Dogs OK Granite Counter Tops Hardwood Floors Laundry in Building Pet Friendly Renovated Stainless Steel Appliances Lake Alen - Real Estate Broker 419.351.5326 Square One Team, brokered by Jason Dalka 2851 N Lincoln Ave., Chicago, IL 60657 -=>", 1501-2000, 1501-
882,"Newly renovated deluxe one bedroom coach house apartment - near Southport / Wellington / Lincoln - Remodelled kitchen with beautiful new cabinets, quartz countertops, adorable new appliances, and a skylight - Remodelled full bathroom with a new bathtub - New hardwood floors, cordless blinds, lighting and outlets Additional features: - Garage parking, private Laundry, and private 13 x 11 climate controlled storage area - Central air - air conditioning in the summer and a new furnace for the winter - Dishwasher and garbage disposal - All new appliances - Refrigerator, oven, garbage disposal, and microwave are all brand new - Small private deck and a shared backyard - 12 minute walk to Brown/Purple lines, 16 minute walk to Red line - Close to DePaul and Southport corridor, 30 minute walk to Wrigley Field 600 square feet, this is the only unit in the rear building, located on the second floor above a three car garage. Cats ok with additional pet deposit. -=>", 1501-2000, 1501-
959,"PROPERTY INFO ID: 46538991 Rent: $3,309 / Month Beds: 2 Bath: 2 Pet: Pet Friendly Parking:: attached garage Price is net effective of promotion. This is available now can hold for 30 days. Floor to ceiling windows, On site dog Run, indoor and outdoor, free parking around the building, Rooftop Pool, Game room, lounge area. Work from Home Pods, and conference rooms, On site Door staff and maintenance. Call me at 219-299-9042 ask for Apollo! We love this building for a lot of reasons, but mostly because they figured out how to make it beautiful, green and energy efficient without giving anything up. Design, sustainability and community are a priority in this one of a kind setting which offers an impeccably landscaped terrace with private lounges, fire pits and grilling stations, an outdoor pool and sundeck, and a separate rooftop lounge with media room, conference space and fireplace to enjoy the breathtaking city views. Inside, use the lounge with coworking table, modern fitness facility or just enjoy the beautiful artwork and interior space in this 100% smoke-free property. There is a 24-hour security door staff as well. Open, modern living spaces welcome you into these beautiful apartment homes. Contemporary finishes throughout include kitchens with gas stoves, integrated, cabinet-faced appliances, blackened steel backsplashes and non-toxic finishes. Exposed concrete ceilings and walls, hardwood flooring throughout and Nest Learning Thermostats leave no detail undone. Each unit comes with floor-to-ceiling windows, large closets and in-unit washers and dryers. Parking is available on-site at an additional charge and there is permit street parking within walking distance. Cats and dogs are accepted throughout and there are indoor and outdoor dog runs and washing stations for your four-legged friend (dog breed restrictions apply, but there is no weight limit). FEATURES Balcony-None Central Air-Yes Dishwasher-All Dogs-No Weight Limit Flooring-Hardwood Only Laundry- W/D In Unit Luxury Property Pool-Outdoor Security-24 Hour Doorman Smoking-No Stove-Gas Disclaimer: Photos may not be of exact unit available and may be of various model units and various vacant units. Apartment availability and lease terms may vary. Pricing, availability, and specials are subject to change at any time and without notice. Please note that the price may be net effective of a special or concession that the building is currently running. Information is believed to be accurate, however, is subject to errors and omissions. HotSpot Rentals services the following neighborhoods: South Loop, Printers Row, Near North, River North, Gold Coast, West Loop, Fulton River District, West Loop Gate, The Loop, Streeterville, Lakeshore East, New East Side, Old Town, Medical District, University Village, Near North, River West, Lincoln Park South, Lakeview, Uptown, Ukrainian Village, Wicker Park, Edgewater, Ravenswood, Bronzeville, Logan Square -=>", 3001-3500, 3001-
2165,"$1099 Monthly Special!! *Limited time only* Call us @224-238-6057 for a tour or to set up a reservation. We're filling up fast! Book now to reserve!! We offer a safe, clean and affordable stay for you and yours. 9am-10pm Front desk staff to assist for all your needs. always staff on-site and 24hr camera monitoring Queen suites (non-smoking) Great, all-inclusive prices. Save Hundreds Every Month NO Lease – move out when it fits your schedule No Deposit – move in any time Kitchen with full size fridge, 2 burner stove, full size microwave Open face closet 42"" High Def TV with free cable Spacious bathroom with amenities supplied Hardwood floors ADA rooms for handicap Free Basic WI-FI -=>", 1001-1500, 1001-
3275,"Residences at Lakeside 830 Foxworth Blvd Lombard, IL 60148 A wonderful home in Lombard is waiting for you! We currently have a gorgeous 1 bedroom 1 bathroom renting for $1605 - $2034 per month. This unit comes with 802 sq ft. YES, WE ARE OPEN! CALL NOW TO SCHEDULE AN IN-PERSON TOUR! OR LET US SHOW YOU THROUGH FACETIME! Enjoy the luxurious life at Residences at Lakeside where you will find only the best community and apartment amenities in Lombard! Coming soon you can de-stress in our heated pool with luxurious cabanas, wind down in our game room, or bowl a strike in our two-lane bowling alley. Workout whenever is convenient for you in our 24-hour fitness center, or head over to the volleyball or tennis court to get your workout in. Finally, you and your furry friend can socialize in our on-site bark park! (630) 883-0344 Community Highlights: ✓ Arcade Games Room ✓ Bowling Alley ✓ Online Payments Available ✓ Onsite Maintenance ✓ Onsite Management ✓ Pet Park ✓ Soccer Field ✓ Tennis Court ✓ Building Elevator Access ✓ Cardio Equipment, Free Weights, Peloton Bike and more! ✓ Coffee Bar ✓ New 24-Hour State-of-the-Art Fitness Center ✓ Pet Friendly Bark Park ✓ Ping Pong Table and Pool Table ✓ Resort Style Heated Pool with Luxurious Cabanas (Coming Soon) ✓ Scenic Ponds Unit Highlights: ✓ Balcony or Patio ✓ Cable Ready ✓ Hardwood Flooring (select units) ✓ In-Home Washer/Dryer ✓ Marble Countertops (select units) ✓ Pond Views (select units) ✓ Stainless Steel Appliances (select units) ✓ Walk-in closets (select units) ✓ 1st Floor ✓ Balcony or Patio ✓ Classic Unit ✓ Hardwood Flooring* ✓ In-Home Washer/Dryer ✓ LOCATION Back ✓ Marble Countertops* ✓ Pond Views* ✓ Stainless Steel Appliances* ✓ Walk-in closets * Contact: (630) 883-0344 Website: <URL>/ Leasing Options: 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month, 14-Month, 15-Month, 16-Month, 17-Month, 18-Month Pet Policy: Breed Restriction;We allow pets for a pet fee of $350 per pet and rent of $35 per pet per month. Management: JRK Property Holdings EQUAL HOUSING OPPORTUNITY 0C20DEBFD1224D95 -=>", 1501-2000, 1501-
1390,"Call or text Dan at Apartment Guys with reference #2192481 Luxury Studio with Floor-Ceiling Windows and Steps to the El! Gold Coast Studio with On-Site Grocery Store. Heat and A/C is included! Unit Features Great views and a modern kitchen with a built-in microwave! Close to EL and Bus Lines. Near Restaurants, Shopping, Entertainment! Garage Parking Available. Building Features: Heated Swimming Pool, Sundeck, Fitness Center, Valet Dry Cleaners, On-site Laundry. Prices are subject to change.***Photos may be of a similar unit.****For faster response best to call or text 773-490-0966 with reference #2192481 -=>", 1501-2000, 1001-
1089,"1000 sqft 1 BR/1BA apartment in lovely vintage building available September 1. All rooms newly painted. Hardwood floors will be refinished the week of 8/22. New countertops and oven installed on 8/29. Walk-in closet with Elfa organizing system. Street parking; coin-op laundry is three steps from the back door. Short walk to South Blvd El, short walk to South Beach. -=>", 1001-1500, 1001-
859,"Enjoy our luxury apartment!Locally-made materials are featured throughout the building, including handmade tile from a Chicago artisan in the rooftop lounge. Large windows offering natural light, beautiful finishes and spacious accommodations are only the beginning in this building. This thoughtfully designed community offers Bosch appliances, soft close drawers, and unique kitchen layouts. For our environmentally friendly residents we offer The Roof Crop, an urban 8,000-square-foot rooftop farm that is commercially maintained and harvested. The produce from the urban farm will be distributed to local restaurants, grocers, and our residents, offering curated events that includes Farmers Markets, Farm Cocktails & Bites and Cooking Workshops. This wonderful place has everything you need, and then some. PROPERTY INFO ID: 303150816 Rent: $2,456 / Month Beds: 1 Bath: 1 Available Date: 08/30/2022 Pet: Pet Friendly -=>", 2001-2500, 2001-2500
1765,"Great Lakeview Location W/Easy Access To The Brownline, Stores, & Nightlife! Updated 2bd/1ba Ready Now! All Utilities Included Tenant Pays Just Cable/Internet! Hardwood & Tile Flooring Throughout! New Kitchen W/Dishwasher! Large Bathroom W/Standing Shower & Bathtub! Secure Entry & Onsite Laundry! Email Or Txt Joseph Perez Landstar Realty Group, Inc. 630-709-1606 -=>", 1001-1500, 1501-
2055,"PROPERTY INFO ID: 312579669 Rent: $3,595 / Month Beds: 3 Bath: 2 Available Date: 01/01/2023 Pet: Pet Friendly Parking:Available, Garage You won't want to miss out on this rarely available 3 bedroom 2 bathroom + office duplex down, located in the beautiful Logan Square neighborhood! Offering plenty of space for entertaining, this apartment features: *Stainless Steel Appliances *Hardwood Floors *Large Open Living Space *Great Size Bedrooms *Laundry In Building *Pet Friendly *Amazing location, near endless options of grocery stores, coffee shops, bars, and so much more! The Apartment Source Call or text: 773.404.9900 -=>", 3501-4000, 3501-
798,"Andersonville one bedeoom apt Separate living room, kitchen w/ dinig area. Heat and water included. Shared back porch area. Move-in fee and deposit required. Available September/October -=>", 1001-1500, 1001-
3782,MASON & ROOSEVELT 1 BEDROOM APARTMENT SECTION 8 WELCOME EVERYTHING BRAND NEW HARDWOOD FLOORS APPLIANCES NO SECURITY DEPOSIT MOVE IN FEE $350 THERESA 773-886-4786 -=>, 501-1000, 501-1000
163,"Welcome to the best of Chicago living!!! Located in the center of River North, enjoy easy access to Michigan Avenue, the Chicago River, Whole Foods, and the trendiest downtown restaurants outside your door! Featuring studio with spacious floor plans, well-appointed living rooms, large walk-in closets, central heat and air, and stunning city views. Designed specifically for contemporary urban lifestyles, this remarkable community features a host of exceptional amenities and resident services. Take advantage of the convenient amenity level featuring a resident lounge, fitness center, indoor swimming pool, conference room, and landscaped sun deck with lake views! Don't delay - make this wonderful place Chicago Apartments for rent your home today!Call OR Text us at (312) 522-5643 with your move in date, budget, location and # of beds/baths PROPERTY INFO ID: 303115320 Rent: $1,965 / Month Beds: 0 Bath: 1 Pet: Pet Friendly Parking:: attached garage -=>", 1501-2000, 1501-
1133,"Charming Studio apartment in Gold Coast - 2 blocks to Clark & Division. Heat Included. Great location in the heart of it all! Just steps to endless shopping, restaurant, and nightlife options. Short walk to Oak Street Beach. Pets ok Call today! Studios available from $1250 - Presented by Fulton Grace, Chicago IL *Pictures, layout, and finishes may differ or be of a similar unit available within the building. -=>", 1001-1500, 1001-
632,"625 W. Wrightwood Lincoln Park Lovely one bedroom one bathroom in the heart of Lincoln Park! Unit features heat and gas included, rehabbed kitchen with granite countertops, stainless steel appliances, dishwasher, separate dining area, spacious living room, built in AC unit, large bedroom, awesome closet space, hardwood floors, rehabbed bathroom, laundry room in building, and pets are welcome. Building features year round shared community deck with fire pit, and just steps to shopping, nightlife, transportation, and more! UA1701 Please Call Rebecca Bush at 323/445-0360‬ to schedule an appointment to view this apartment and mention Apartment ID: 47349. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing -=>", 1501-2000, 1501-
1069,"$1,200 per month. 1 year lease. $400 non refundable move in fee. Available now. Flexible move in date. Prefer September 1. 3rd floor apartment. Unit is taller than the buildings on both sides for great sunlight and cross breeze. 1 bedroom plus a den. Original clawfoot tub in bathroom. Beautiful tile in kitchen and bathroom. Hardwood floors in all other rooms. Landlord lives in area and available to help with issues or concerns. Tenant Responsible for all utilities. Laundry in building Walking distance to Blue Line Chicago Ave Stop. Easy access to 65, 66 and 9 bus lines. Nearby bar / restaurants: Irish Nobleman, Flo Kitchen, Noble Thai, Five Star, Bella Notte, Green Grocer and much more. Great walking neighborhood. No co-signers, credit score of 675 or better, verifiable employment, no pets. Contact Dave 773-458-5899 for a showing. Can text or call. -=>", 1001-1500, 1001-
1109,"2 bedroom / 2.5 bath duplex up with 2 large bedrooms both with attached full bath. Newer central HVAC system; in-unit washer/dryer; wood burning fireplace; quartz kitchen countertops with gas cooktop, stainless steel refrigerator and dishwasher; double wall oven; garbage disposal; private 2-level deck overlooking fenced-in yard. Garage parking space available for additional fee. Conveniently located walking distance to CTA and tons of restaurants and shops. -=>", 2501-3000, 2501-
3855,"PROPERTY INFO ID: 24380653 Rent: $1,300 / Month Beds: 1 Bath: 1 Available Date: 12/01/2022 Pet: Pet Friendly Logan Square 1 bed steps from the train, shops, movie theater, restaurants and more! Pet friendly and laundry on site. Spacious bedroom and walk-in closet. No utilities included. $400 move-in fee; no security deposit. Video and floor plan available. Applicants must have 650+ credit and proof of income 3X the rent. Tony Rothberg Leasing Agent The Apartment Source 773-387-1482 -=>", 1001-1500, 1001-
1377,"3759 N. Kimball Old Irving Park Unforgettable three bedroom, one bathroom in Old Irving Park features new kitchen with all stainless steel appliances, dishwasher, gas oven/range, top of the line fridge, large combination living and dining rooms, tall ceilings, flooded with sunlight, new windows, hardwood floors, spacious bedrooms, great closet space, updated bathroom, central heat and air, in unit laundry, and small pets are welcome. Please Call Aleksandra Chadiev at 224/322-5494‬ to schedule an appointment to view this apartment and mention Apartment ID: 46934. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing -=>", 1501-2000, 2001-2500
963,"PROPERTY INFO ID: 2830224 Rent: $2,500 / Month Beds: 3 Bath: 2 Available Date: 08/01/2022 Pet: Pet Friendly Rent Includes:: Water Parking:: no parking Large 3BR/2BA with queen sized bedrooms, w/d in-unit, central heat/ac, dishwasher, kitchen with black appliances, close to restaurants, shopping, nightlife, & public transportation. Pets Nego, Easy Street Parking. CALL OR TEXT Patrick 708.902.2266 @apartmentsource @pmarkey62 FEATURES A/C Central Heat Deck Dishwasher Granite Counter Tops Hardwood Floors Small Dog OK Patrick Markey Licensed Leasing Agent 708 902 2266 TAS The Apartment Source Call or text: 773.404.9900 -=>", 2501-3000, 2501-
1558,"3 Bedroom  2 Bathroom | 1176 sq ft | $1830 - $2299/Month Residences at Lakeside 830 Foxworth Blvd Lombard, IL 60148 (630) 883-0344 Description: YES, WE ARE OPEN! CALL NOW TO SCHEDULE AN IN-PERSON TOUR! OR LET US SHOW YOU THROUGH FACETIME! At Residences at Lakeside, our community is sure to exceed your apartment expectations. Choose from a vast selection of one, two, and three-bedroom apartments in Lombard, IL. Residents can enjoy apartment features including stainless steel appliances, in-home washer and dryers, and much more! See all the excitement Residences at Lakeside has to offer. Check the availability on our floor plans and apply online for your new home today. Apartment Amenities: ● Balcony or Patio ● Cable Ready ● Hardwood Flooring (select units) ● In-Home Washer/Dryer ● Marble Countertops (select units) ● Pond Views (select units) ● Stainless Steel Appliances (select units) ● Walk-in closets (select units) ● 1st Floor ● Balcony or Patio ● Classic Unit ● Hardwood Flooring* ● In-Home Washer/Dryer ● LOCATION Back ● Marble Countertops* ● Pond Views* ● Stainless Steel Appliances* ● Walk-in closets * Our Residents Enjoy: ● Arcade Games Room ● Bowling Alley ● Online Payments Available ● Onsite Maintenance ● Onsite Management ● Pet Park ● Soccer Field ● Tennis Court ● Building Elevator Access ● Cardio Equipment, Free Weights, Peloton Bike and more! ● Coffee Bar ● New 24-Hour State-of-the-Art Fitness Center ● Pet Friendly Bark Park ● Ping Pong Table and Pool Table ● Resort Style Heated Pool with Luxurious Cabanas (Coming Soon) ● Scenic Ponds Additional Details: Deposit: $950 Terms: 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month, 14-Month, 15-Month, 16-Month, 17-Month, 18-Month Pets: Breed Restriction;We allow pets for a pet fee of $350 per pet and rent of $35 per pet per month. (630) 883-0344 Website: <URL>/ EQUAL HOUSING OPPORTUNITY 1AD884FE2A4C4950 -=>", 1501-2000, 1501-
