,prompt,expected_completion,actual_completion
122,"Intimate numBR + Den vintage apartment with contemporary updates Is rent cheap, average, or expensive? <SEP>
", average, average
511,"Well-Priced  num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", average, average
486,"num bedroom apartment - Shoreline Park Is rent cheap, average, or expensive? <SEP>
", average, average
23,"PLACE Living, Convertible, Jr num bedroom, Balcony, Pool, Gym Is rent cheap, average, or expensive? <SEP>
", cheap, average
164,"Spacious num bed w/ FREE heat Is rent cheap, average, or expensive? <SEP>
", cheap, average
13,"Amazing num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", average, average
484,"num blocks to the Blue line Is rent cheap, average, or expensive? <SEP>
", expensive, cheap
61,"Extraordinary num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", average, average
449,"numBedroom with sun room Is rent cheap, average, or expensive? <SEP>
", cheap, average
239,"PLACE num bedroom on PLACE Drive Is rent cheap, average, or expensive? <SEP>
", average, cheap
547,"Amazing Deal in Foodie Heaven PLACE  Jr num bed- Walk-in Closet, W/D Is rent cheap, average, or expensive? <SEP>
", average, average
315,"Stunning renovated num bed, num bath! Gorgeous floors, kitchens, & more Is rent cheap, average, or expensive? <SEP>
", average, average
570,"PLACE Haven: A Symphony of Luxury and Modernity Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
70,"PLACE TOWER num BEDROOM IN PLACE PARK Is rent cheap, average, or expensive? <SEP>
", cheap, expensive
295,"Central Air! Rehabbed PLACE One bedroom! Lovely! Is rent cheap, average, or expensive? <SEP>
", average, average
98,"Remarkable num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", average, average
283,"num BR Loft in the PLACE Is rent cheap, average, or expensive? <SEP>
", cheap, average
536,"NO CREDIT CHECK ONE BEDROOM APARTMENT Is rent cheap, average, or expensive? <SEP>
", expensive, average
489,"Trendy numBR Loft Is rent cheap, average, or expensive? <SEP>
", average, expensive
342,"Dynamite num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", cheap, average
127,"PLACE Lake Front Downtown num/num Most Utilites & Internet  Included Is rent cheap, average, or expensive? <SEP>
", cheap, expensive
1,"Fully furnished/ $num.num/Utilities Included Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
477,"Total Rehab! Heat Included Is rent cheap, average, or expensive? <SEP>
", average, average
27,"Top floor! Ample natural light! New floors & Pets! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
89,"Great price, affordable One Bedroom in Middle of PLACE  Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
73,"Large East PLACE numBD. Dining Room & Heat Included! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
417,"UNIQUE LIVE//WORK num BED num BATH FULLY UPDATED  SUPER MODERN Is rent cheap, average, or expensive? <SEP>
", average, expensive
171,"Furnished Studio Is rent cheap, average, or expensive? <SEP>
", cheap, average
474,"Luxurious Living! Convertible w/ Upgraded Kitchen, In-Unit W/D, Gym Is rent cheap, average, or expensive? <SEP>
", cheap, average
383,"Beautiful numBed numBathroom Apt PLACE Is rent cheap, average, or expensive? <SEP>
", expensive, cheap
304,"Large PLACE num bedroom w/BALCONY! Great location w/Amenities! Is rent cheap, average, or expensive? <SEP>
", cheap, average
91,"Newly Renovated numbd/numba Top Floor in Charming Building -  num/num (flex) Is rent cheap, average, or expensive? <SEP>
", expensive, average
491,"Spacious num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", expensive, average
125,"Classic num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", average, average
565,"NEW LISTING: num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
12,"num BEDROOM EVERYTHING BRAND NEW NO PLACE DEPOSIT LOREL & PLACE Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
450,"PLACEvated mid century style num bed in PLACE East Is rent cheap, average, or expensive? <SEP>
", expensive, average
582,"num bed num Bath Apartment with Rooftop Pool in PLACE Is rent cheap, average, or expensive? <SEP>
", expensive, average
360,"Super Affordable num Bedroom! Most Utilities Included!! Is rent cheap, average, or expensive? <SEP>
", average, cheap
238,"num Bed / num Bath in PLACE  Great Location! Is rent cheap, average, or expensive? <SEP>
", cheap, average
438,"May/June Sublet with Full Lease Available num/num Is rent cheap, average, or expensive? <SEP>
", average, expensive
422,"Spacious num Bedroom W/dishwasher, A/C Units provided Is rent cheap, average, or expensive? <SEP>
", average, average
143,"Beautiful unit in PLACE with in unit washer/dryer and hw floors Is rent cheap, average, or expensive? <SEP>
", expensive, average
551,"Heavenly num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", average, expensive
14,"Incomparable num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", average, average
548,"Sunny num bed w/ separate dining room, free heat, FREE LAUNDRY Is rent cheap, average, or expensive? <SEP>
", average, average
448,"Stunning High End PLACE Convertible in Ultra Luxury High Rise! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
208,"Remodeled numBR in PLACE  Elmwood/Dempster - Heat Incld- Purple Line Is rent cheap, average, or expensive? <SEP>
", cheap, average
131,"Upgraded num Bedroom num Bathroom Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
174,"Perfected num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", average, average
408,"Furnished Studio - Great Monthly Rates! Is rent cheap, average, or expensive? <SEP>
", average, average
191,"Live the luxury life you love! Beautiful num br num ba in PLACE  Is rent cheap, average, or expensive? <SEP>
", average, expensive
270,"Large one Bedroom Apartment Heated Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
123,"num bed/numbath PLACE apt available!!! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
138,"PLACE vintage charm Is rent cheap, average, or expensive? <SEP>
", average, cheap
51,"Immaculate, large num bedroom condo rental with parking & heat included Is rent cheap, average, or expensive? <SEP>
", expensive, average
459,"PLACE Updated In Unit Laundry Pet Friendly Is rent cheap, average, or expensive? <SEP>
", expensive, average
112,"num BED /numBA num W George St- Gut Renovation- PLACE Park Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
265,"UPDATED num bed in PLACE  NEAR THE LAKE!!! Is rent cheap, average, or expensive? <SEP>
", cheap, average
410,"Central Air! Rehabbed PLACE One bedroom! Lovely! Is rent cheap, average, or expensive? <SEP>
", average, average
272,"Sleek South PLACE num bedroom! Hardwood Floors, W/D in unit, Pool, Gym, Is rent cheap, average, or expensive? <SEP>
", expensive, average
256,"Apartment for Rent Is rent cheap, average, or expensive? <SEP>
", expensive, cheap
455,"Large num Bedroom, PLACE  Dishwasher, Spacious Beds, Pets OK Is rent cheap, average, or expensive? <SEP>
", expensive, average
105,"Amazing Price! Great Location Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
300,"A+ Better Business Bureau Rating Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
574,"Remodeled one bed in PLACE  Brand new! Is rent cheap, average, or expensive? <SEP>
", cheap, expensive
386,"Beautiful num Bedroom Unit Available At The Grand Palmer Lodge! Is rent cheap, average, or expensive? <SEP>
", expensive, average
482,"Ideal num Bedroom, num Bath in Ravenswood, Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", expensive, average
230,"Stainless Steel Appliances! Wonderful Location! Walk to Everything! Is rent cheap, average, or expensive? <SEP>
", expensive, average
153,"One bed in PLACE with in unit laundry & central air/heat Is rent cheap, average, or expensive? <SEP>
", cheap, average
521,"STUNNING Modern num Bed in Hub of Ravenswood - Central Air! Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
533,"Amazing num bed, num bath at Residences at PLACE  Washer/dryer included! Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
294,"Appealing num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
150,"Duplexnum Bedroom, PLACE  HWF, Pets OK, Close to Everything! Is rent cheap, average, or expensive? <SEP>
", cheap, average
382,"All you've been looking for! Stylish upgraded num SqFt num BD / num BA! Is rent cheap, average, or expensive? <SEP>
", average, expensive
163,"One Bedroom in PLACE Square Is rent cheap, average, or expensive? <SEP>
", cheap, average
167,"Ravenswood One Bed Lease Today One Month Free!! Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
329,"Sunny num/num plus den and patio Is rent cheap, average, or expensive? <SEP>
", cheap, average
206,"Appealing num Bedroom, num Bath in Ravenswood, Available: Now Is rent cheap, average, or expensive? <SEP>
", average, average
188,"Amazing PLACE num Bedroom Convertible in a Great Location Is rent cheap, average, or expensive? <SEP>
", average, cheap
366,"Live right on the border of PLACE and PLACE  Is rent cheap, average, or expensive? <SEP>
", average, cheap
324,"$num,num / numbr - $num numbr-Apartment Alternative StudioWoodspring Suites Is rent cheap, average, or expensive? <SEP>
", expensive, average
145,"Perfect Convertible Studio! South PLACE  washer/dryer, rooftop deck! Is rent cheap, average, or expensive? <SEP>
", cheap, average
358,"West PLACE jr num bed, w/d, lg closets, great views Is rent cheap, average, or expensive? <SEP>
", average, average
226,"Location! Heat Included! New Kitchen! Small Dog Ok! Ready Now! Is rent cheap, average, or expensive? <SEP>
", average, average
216,"PLACEvated numBD apt in PLACE w/ Heat Included. Steps to Red Line. Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
451,"Large living room and Dining area with fireplace. Is rent cheap, average, or expensive? <SEP>
", cheap, average
532,"Now Is The time In Noble Square! Homey numBR/numBA+Den Available! Is rent cheap, average, or expensive? <SEP>
", expensive, average
298,"PLACE Loft At North & Wells w/New Kitchen & Exposed Brick! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
519,"Cozy Rehabbed num Bed, with Central Air and In-Unit Washer/Dryer! Is rent cheap, average, or expensive? <SEP>
", expensive, average
392,"Laundry in unit! Large One bedroom plus den! Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
368,"Ravenswood Modern Rehab num Bed with a Deck Is rent cheap, average, or expensive? <SEP>
", average, expensive
427,"High-End Condo Quality One Bed In PLACE High-Rise! Is rent cheap, average, or expensive? <SEP>
", average, expensive
175,"Rare PLACE Jr One bedroom! Is rent cheap, average, or expensive? <SEP>
", average, average
523,"Awesome num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", average, average
538,"Astonishingly Beautiful num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", cheap, expensive
229,"Amenity Rich Building Close To Red Line Lease Today num Month Free Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
364,"Stylish loft style numbd/numb apt with exposed brick and HUGE windows Is rent cheap, average, or expensive? <SEP>
", cheap, average
280,"Nice num Bedroom In Ravenswood; Cats OK! Is rent cheap, average, or expensive? <SEP>
", average, average
560,"PLACE Is rent cheap, average, or expensive? <SEP>
", average, cheap
228,"Central Air! Rehabbed PLACE One bedroom! Lovely! Is rent cheap, average, or expensive? <SEP>
", average, average
100,"Sparkling num Bedroom, num Bath in Ravenswood, Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", average, average
290,"Modern South PLACE num Bedroom-WD, Gym,Rooftop, Floor to Ceiling Windows! Is rent cheap, average, or expensive? <SEP>
", cheap, average
518,"Convertible w/Laundry~Outstanding Amenities~Luxe Finish~Pets OK! Is rent cheap, average, or expensive? <SEP>
", average, average
53,"LARGE SUNNY with Views of LAKE & CITY Is rent cheap, average, or expensive? <SEP>
", expensive, average
227,"num Bedroom w/ private balcony, in unit w/d & walk in closet and pool Is rent cheap, average, or expensive? <SEP>
", average, average
566,"Refreshing num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
581,"Beautiful PLACE num Bed available June Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
154,"Spacious PLACE num Bedroom, Rooftop, Gym, Market, Dog Park! Is rent cheap, average, or expensive? <SEP>
", average, average
251,"Fully Furnished Studio with Utilities Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
275,"GREAT PRICE! num/num PLACE  Pool, Gym, LOCATION! Is rent cheap, average, or expensive? <SEP>
", average, cheap
158,"GREAT VALUE!! PLACE num bedroom Convertible STUNNING VIEWS!!! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
271,"Astounding num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", average, average
44,"PLACE: NEWLY RENOVATED num BEDROOM - W/D IN UNIT - BACK YARD Is rent cheap, average, or expensive? <SEP>
", expensive, average
573,"Spacious New Construction w/In-Unit Laundry in Heart of PLACE Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
113,"Beautifully rehabbed! Small Pets ok! Is rent cheap, average, or expensive? <SEP>
", average, average
415,"Affordable num bedroom and Laundry in Unit! Is rent cheap, average, or expensive? <SEP>
", average, average
211,"Need a bigger place to call home? Check us out! num SqFt, num Bed Is rent cheap, average, or expensive? <SEP>
", expensive, average
108,"** Huge apartment in extremely secure hi-rise** Is rent cheap, average, or expensive? <SEP>
", expensive, average
320,"Delightful num bed / num bath in PLACE  num Sq Ft. Great value! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
169,"Huge layout! Heat included! Pets! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
79,"Sunny & Renovated num Bed num Bath w/ Gas and Heat Included Is rent cheap, average, or expensive? <SEP>
", average, average
50,"Beckoning num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", average, average
84,"One bedroom luxury apt Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
8,"Awesome Location! PLACE numBD Apt. Gas and Heat Included! Is rent cheap, average, or expensive? <SEP>
", average, cheap
32,"Absolutely Gorgeous One Bed Apartment In PLACE  Take A Tour! Is rent cheap, average, or expensive? <SEP>
", average, average
99,"PLACE dream num bedroom for rent Is rent cheap, average, or expensive? <SEP>
", cheap, average
109,"Large num Bedroom Apartment--Great Location--Affordable! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
136,"Heat Included! Large Floorplan! Dishwasher! Small Dog Ok! Is rent cheap, average, or expensive? <SEP>
", average, average
330,"Updated num Bedroom, PLACE  Dishwasher, Pets OK num/num Is rent cheap, average, or expensive? <SEP>
", average, average
222,"Spacious num bed in great location near the Brown line Is rent cheap, average, or expensive? <SEP>
", average, average
28,"Appealing num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
287,"incredible modern num bedroom ! PLACE Is rent cheap, average, or expensive? <SEP>
", cheap, expensive
481,"Sunny Great Price num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
55,"Spacious PLACE numBD near Red Line!, Pet-friendly, On-Site W/D Is rent cheap, average, or expensive? <SEP>
", average, cheap
156,"COZY num BEDROOM HEART OF PLACE  Is rent cheap, average, or expensive? <SEP>
", cheap, average
507,"You will love having your own washer/dryer at Residences at PLACE  Is rent cheap, average, or expensive? <SEP>
", expensive, average
522,"Dazzling num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", expensive, average
310,"num sqft num bd, num ba ready to lease! Come on over and check us out! Is rent cheap, average, or expensive? <SEP>
", average, average
48,"num BR available in Roscoe Village Available October numst Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
83,"Brilliant num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", average, average
460,"MODERN AND SPACIOUS numBD~Near the Lake Is rent cheap, average, or expensive? <SEP>
", cheap, expensive
33,"Exquisite num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", average, expensive
35,"Incredible num Bedroom, num Bath in Ravenswood, Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", average, average
331,"PLACE Huge num Bed, Pets OK, April numst Is rent cheap, average, or expensive? <SEP>
", average, cheap
63,"Beautiful Kitchen! Spacious Flooprlan! Is rent cheap, average, or expensive? <SEP>
", average, cheap
509,"*Brand New* numBd/numBa in PLACE  Pet Friendly! In-Building Laundry! Is rent cheap, average, or expensive? <SEP>
", expensive, average
544,"Classic num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", average, average
322,"Live In A PLACE one bedroom at an affordable price! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
372,"Amazing num Bedroom in PLACE River w Great Views and Stunning Location! Is rent cheap, average, or expensive? <SEP>
", average, average
445,"Gorgeous numbr in PLACE Craign Is rent cheap, average, or expensive? <SEP>
", average, cheap
234,"Premium Luxury num Sq Ft, num Bed / num Bath in PLACE Heights Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
579,"Brand New Construction w/ In Unit Laundry in PLACE Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
343,"Perfect PLACE Location! Is rent cheap, average, or expensive? <SEP>
", average, average
45,"One bedroom garden apartment on lovely street Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
303,"In Unit Laundry! Gut Rehab num bedroom with New Kitchen! Is rent cheap, average, or expensive? <SEP>
", expensive, average
512,"PLACEthtaking num Bedroom, num Bath in Ravenswood, Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
177,"Magnificent num Bedroom. Nice sundeck! Is rent cheap, average, or expensive? <SEP>
", cheap, average
219,"Great PLACE num Bed, num Bath. Hardwood Floors. Utilities Included. Is rent cheap, average, or expensive? <SEP>
", cheap, average
495,"Victorian building in PLACE Is rent cheap, average, or expensive? <SEP>
", cheap, expensive
296,"Ideal num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
21,"Enravishing num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", cheap, average
248,"Cats and Dogs Welcome! We are Pet Friendly! num BD / num BA Is rent cheap, average, or expensive? <SEP>
", expensive, average
571,"Newly Rehabbed Cozy num Bed in Bricktown Is rent cheap, average, or expensive? <SEP>
", cheap, average
325,"Fantastic num Bed Condo in Prime PLACE Close to Lake Is rent cheap, average, or expensive? <SEP>
", average, average
309,"Leland PLACE  num-bed heated Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
199,"Furnished Studio - Great Monthly Rates! Is rent cheap, average, or expensive? <SEP>
", expensive, average
137,"num/num High End Condo numBR- Parking, W/D in unit, Granite, SS Appliances Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
24,"One bedroom apartment for rent with storage, used yard and sidedrive Is rent cheap, average, or expensive? <SEP>
", average, average
399,"num Bedroom Mother in laws suite available Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
184,"--Historic Timber Loft- PLACE -num BED num BATH--CLOSE TO IT ALL-- Is rent cheap, average, or expensive? <SEP>
", average, average
205,"Location! Heat Included! Dishwasher! Dog Friendly! Ready Now! Is rent cheap, average, or expensive? <SEP>
", average, cheap
134,"PLACE Plaza numbedroom numbath apt Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
299,"Appealing num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", average, average
116,"Amazing Building with Amenities Galore! Rooftop Pool Open Year Round! Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
212,"Awesome PLACE Location! Updated Kitchen and W/D In-Unit! Is rent cheap, average, or expensive? <SEP>
", average, average
561,"Modern, SPACIOUS num-Bed * Central Air * Dishwasher * PLACE Is rent cheap, average, or expensive? <SEP>
", average, average
567,"Condo Quality numBD In High-Rise With Fitness Center! Is rent cheap, average, or expensive? <SEP>
", average, average
557,"New and Pristine num Bedroom Convertible in PLACE  Gym, Pool +More Is rent cheap, average, or expensive? <SEP>
", average, average
433,"Pristine PLACE num bedroom Apartment Is rent cheap, average, or expensive? <SEP>
", average, average
231,"PLACE,numbedroom, GYM, Indoor POOL, Sauna, Shops,bars Is rent cheap, average, or expensive? <SEP>
", expensive, average
405,"PLACE Hi rise Luxury Condo for Rent! Is rent cheap, average, or expensive? <SEP>
", average, expensive
217,"Large numBR+Den Unit in Modern Complex- Flexible Start and End Dates Is rent cheap, average, or expensive? <SEP>
", expensive, average
56,"Luxury One-Bedroom in Heart of PLACE  Pool, Gym, Food and Location Is rent cheap, average, or expensive? <SEP>
", cheap, expensive
317,"Gorgeous num Bedroom, PLACE  InUnit Laundry, Central Air Is rent cheap, average, or expensive? <SEP>
", average, average
183,"Beautifull updated num bedroom ! PLACE  Is rent cheap, average, or expensive? <SEP>
", cheap, average
480,"Dazzling num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", expensive, average
563,"Bright sunny apartment Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
340,"PLACE Updated num Bedroom In Unit Laundry Is rent cheap, average, or expensive? <SEP>
", average, average
181,"Don't miss this fabulous num Bed, num Bath! Highly desirable location! Is rent cheap, average, or expensive? <SEP>
", average, cheap
97,"Stunning & Spacious Convertible in PLACE  Contact us! Is rent cheap, average, or expensive? <SEP>
", average, cheap
114,"Gracefully Elegant num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", cheap, expensive
397,"Convertible In PLACE  MASSIVE Closets, DW, & Pool! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
278,"Delightful num bed / num bath in PLACE  num Sq Ft. Great value! Is rent cheap, average, or expensive? <SEP>
", average, cheap
432,"Nicenum bed in PLACE  Is rent cheap, average, or expensive? <SEP>
", average, cheap
118,"Dazzling num bed w/IN UNIT; Red Line, num/num, num/num, num/num Is rent cheap, average, or expensive? <SEP>
", average, average
568,"Amazing num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", expensive, average
170,"Video Tour Available! num Bedroom, num Bath in PLACE  Avail: Now Is rent cheap, average, or expensive? <SEP>
", expensive, average
401,"numth flr, Flly frnshed, utilities included, parking spot, pool/gym Is rent cheap, average, or expensive? <SEP>
", expensive, average
389,"BRAND NEW LUXURY BUILDING OPENING num/num/num - BEAUTIFUL num BEDROOM Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
537,"Take a look at this spacious one bedroom with Heat included!! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
54,"Appealing num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", expensive, cheap
176,"Private num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", cheap, average
327,"num S Wood St #numF Is rent cheap, average, or expensive? <SEP>
", cheap, average
194,"PLACE Gem! New floors and king room. Ample natural light! Is rent cheap, average, or expensive? <SEP>
", average, cheap
198,"Don't miss this fabulous num Bed, num Bath! Highly desirable location! Is rent cheap, average, or expensive? <SEP>
", average, cheap
463,"PLACE Convertible with Balcony, Massive Closet, Pool, Gym Is rent cheap, average, or expensive? <SEP>
", average, cheap
352,"Convertible num bedroom in trendy PLACE  W/D In Unit Is rent cheap, average, or expensive? <SEP>
", cheap, average
182,"Quality num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", average, average
266,"PLACE Downtown PLACE num Bedroom, Large Balcony + Washer Dryer Is rent cheap, average, or expensive? <SEP>
", average, average
354,"num N. Canal St.  Rent $num per month Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
103,"num NORTH FRANCISCO Is rent cheap, average, or expensive? <SEP>
", cheap, average
220,"Location! Heat Included! Major Closet Space! Ready Now! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
130,"num Bedroom Appartment for Rent Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
353,"Gorgeous Rehabbed Apt w\ In Unit!  PLACE Roscoe Village Border Is rent cheap, average, or expensive? <SEP>
", expensive, average
371,"Unparalleled num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
338,"Live In A PLACE one bedroom at an affordable price! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
472,"Radiant num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", average, average
60,"Affordable AND Great Location! In unit Laundry! Is rent cheap, average, or expensive? <SEP>
", expensive, average
94,"James House Apt num/num - PLACE Is rent cheap, average, or expensive? <SEP>
", expensive, cheap
193,"Central Air! Rehabbed PLACE One bedroom! Lovely! Is rent cheap, average, or expensive? <SEP>
", average, average
140,"Classic num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", average, average
416,"Spacious PLACE num Bedroom with amazing amenities Is rent cheap, average, or expensive? <SEP>
", average, average
148,"Nicely rehabbed**** PLACE numbd**** INTERNET INCLUDED! Is rent cheap, average, or expensive? <SEP>
", average, cheap
202,"Vintage PLACE Andersonville num Bed w/ heat included! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
152,"Street Facing Renovated PLACE num-bed Is rent cheap, average, or expensive? <SEP>
", average, cheap
377,"Platinum PLACE  PLACE Luxury Convertible, Balcony, W/D Is rent cheap, average, or expensive? <SEP>
", cheap, average
391,"PLACE - Lofted Convertible num Bedroom - Dishwasher - Pool / Gym Is rent cheap, average, or expensive? <SEP>
", cheap, average
337,"PLACE convertible num bedroom steal! Door staff, large gym here Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
380,"Outstanding num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", cheap, average
520,"Gorgeous num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", average, average
10,"LUXURY num Bedroom Convertible Printer's Row! Is rent cheap, average, or expensive? <SEP>
", expensive, cheap
269,"Furnished Studio - Great Monthly Rates! Is rent cheap, average, or expensive? <SEP>
", average, average
96,"This One Bedroom is Pet Friendly! 🐕🐈 Is rent cheap, average, or expensive? <SEP>
", average, cheap
210,"Loft style numbd/numb apt with exposed brick, high ceiling, and large wind Is rent cheap, average, or expensive? <SEP>
", cheap, average
240,"Large num Bedroom apartment Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
57,"***Priced to Move! PLACE Loft in the Heart of the Action!*** Is rent cheap, average, or expensive? <SEP>
", average, average
452,"PLACE num bedroom plus den Is rent cheap, average, or expensive? <SEP>
", cheap, average
301,"Appealing num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", expensive, average
496,"HUGE numbd/Walk in Closet/Free Fiber internet Is rent cheap, average, or expensive? <SEP>
", average, average
359,"What a Rarity! Central Air in a Rehabbed PLACE One Bedroom! Is rent cheap, average, or expensive? <SEP>
", average, cheap
36,"Spacious and Perfectly Located Condo Is rent cheap, average, or expensive? <SEP>
", average, average
30,"num bedroom near downtown PLACE Is rent cheap, average, or expensive? <SEP>
", average, cheap
20,"Choice num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", average, average
549,"num Bedroom - designer interior - PLACE - Available May numst Is rent cheap, average, or expensive? <SEP>
", expensive, average
332,"Spacious, comfortable num Sq Ft num bed, num bath! Now showing! Is rent cheap, average, or expensive? <SEP>
", average, average
75,"EAST PLACE numBD+Den GRNT S/S DW HWF A/C W/D IN-UNIT CATS OK Is rent cheap, average, or expensive? <SEP>
", cheap, expensive
200,"Ravenswood num Bed w/ Central Air, Dishwasher Is rent cheap, average, or expensive? <SEP>
", average, average
77,"PLACE Beach! Spacious one bedroom with a spectacular view. Is rent cheap, average, or expensive? <SEP>
", average, average
263,"Start living large! You'll love our num bed, num bath! num Sq Ft! Is rent cheap, average, or expensive? <SEP>
", average, expensive
