,prompt,expected_completion,actual_completion
201,"- The right amount of space for a great price - Cozy main living area. - Vintage bathroom w/ excellent water pressure - Hardwood floors - Eat-in kitchen w/ pantry - Big bedroom w/ plenty of closet space - Attractive courtyard building. - Every unit has FREE HEAT and Hardwood floors! - The building has a laundry room on-site and an assigned building engineer. - Short walk to 2 bus lines. - Limited parking available. ICM Properties Inc. has been a professional management company since 1966. 24-hour emergency call center. NO SECURITY DEPOSIT! Paulina near Peterson Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
76,"625 W. Wrightwood Lincoln Park Lovely one bedroom one bathroom in the heart of Lincoln Park! Unit features heat and gas included, rehabbed kitchen with granite countertops, stainless steel appliances, dishwasher, separate dining area, spacious living room, built in AC unit, large bedroom, awesome closet space, hardwood floors, rehabbed bathroom, laundry room in building, and pets are welcome. Building features year round shared community deck with fire pit, and just steps to shopping, nightlife, transportation, and more! UA1701 Please Call Rebecca Bush at 323/445-0360‬ to schedule an appointment to view this apartment and mention Apartment ID: 47349. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
410,"Charming Upper Level 1 Bedroom Apartment in Prime Bucktown! This unit features dishwasher, in-unit laundry, great closet space and central heat & air. Hardwood floors throughout the unit. Amazing Bucktown location within walking distance to restaurants, shopping, bars, entertainment, Metra Station, CTA Blue Line Station and the 606 trail! Available now! More Photos to follow. Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
293,"Beautiful clean building with amazing management. Super comfortable and cozy studio apartment with views of lake Michigan. Rooftop access with views of Lake and Lincoln Park. Is rent cheap, average, or expensive? <SEP>
", cheap, expensive
318,"Residences at Lakeside 830 Foxworth Blvd Lombard, IL 60148 (630) 883-0344 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . Rental Size: 1 BR - 1 BA - 682 sq ft Per Month: PRICE - PRICE Lease Length: 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month, 14-Month, 15-Month, 16-Month, 17-Month, 18-Month . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . YES, WE ARE OPEN! CALL NOW TO SCHEDULE AN IN-PERSON TOUR! OR LET US SHOW YOU THROUGH FACETIME! Discover the ideal apartment location when renting at Residences at Lakeside. Whether you are a graduate student at Midwestern University or an intern at Groupon in Downtown Chicago, the suburban beauty of Lombard, Illinois is your retreat. Located 20 miles from Chicago in a private neighborhood in Du Page County, experience a lovely community of renovated one, two, and three-bedroom apartment homes. When you live here, getting around town is easy with Interstates 355, 88 and 290 just minutes away. Explore the neighborhood and see what else is nearby the Residences at Lakeside! . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . Features and Amenities: ● Arcade Games Room ● Bowling Alley ● Online Payments Available ● Onsite Maintenance ● Onsite Management ● Pet Park ● Soccer Field ● Tennis Court ● Building Elevator Access ● Cardio Equipment, Free Weights, Peloton Bike and more! ● Coffee Bar ● New 24-Hour State-of-the-Art Fitness Center ● Pet Friendly Bark Park ● Ping Pong Table and Pool Table ● Resort Style Heated Pool with Luxurious Cabanas (Coming Soon) ● Scenic Ponds . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . This Unit Comes With: ● Balcony or Patio ● Cable Ready ● Hardwood Flooring (select units) ● In-Home Washer/Dryer ● Marble Countertops (select units) ● Pond Views (select units) ● Stainless Steel Appliances (select units) ● Walk-in closets (select units) ● 1st Floor ● Balcony or Patio ● Classic Unit ● Hardwood Flooring* ● In-Home Washer/Dryer ● LOCATION Back ● Marble Countertops* ● Pond Views* ● Stainless Steel Appliances* ● Walk-in closets * . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . Call us for more information! -- (630) 883-0344 -- Website: <URL>/ Pets: Breed Restriction;We allow pets for a pet fee of PRICE per pet and rent of PRICE per pet per month. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . EQUAL HOUSING OPPORTUNITY F1D5461AE95F411F Is rent cheap, average, or expensive? <SEP>
", cheap, expensive
68,"540 W. Roscoe Lakeview Awesome one bedroom one bathroom in the heart of Lakeview! Unit features heat, gas, and water included, newer kitchen, separate dining area with ceiling fan, spacious living room, built in AC unit, hardwood floors, spacious bedroom, great closet space, newer bathroom, laundry room in building, and pets welcome! Walking distance to shopping, nightlife, transportation, and more! Please Call Rebecca Bush at 323/445-0360‬ to schedule an appointment to view this apartment and mention Apartment ID: 20760. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
455,"PROPERTY INFO ID: 67044055 Rent: PRICE / Month Beds: 1 Bath: 1 Pet: Pet Friendly 5 min walk to the Roosevelt CTA station along with Jewel, Trader Joes, restaurants and much more! Price is net effective of a promotion! Please email a link to this ad with the following information: When is your move date?(is it flexible, if so how far in either direction)? Do you have any pets? (weight and breed)? Budget(just rent)? Neighborhoods you're considering? When are you available for a showing? This new addition to Chicago’s South Loop is another great example of “more bang for your buck” when it comes to downtown living, and the perks of its location are hardly a secret these days-especially among locals. The building is an easy walk from the Green, Red and Orange Line CTA trains (Roosevelt Station) as well as Grant Park, the Museum Campus and the lakefront. Hop on any of the major expressways in about five minutes. Grocery and dining/nightlife options abound, and the property even offers a complimentary Tesla Chauffeur Service to help you explore the neighborhood! On-site amenities include a comfortably furnished outdoor deck with a fire pit and grilling stations, a state-of-the-art fitness center, and an indoor social lounge with demonstration kitchen and a private dining area. This 100% smoke free property has 24-hour door staff. From the keyless entry down to the light fixtures, these apartments are thoroughly modern. Fans of the contemporary design will love the exposed concrete surfaces paired with floor-to-ceiling windows and sustainable laminate wood flooring. Spacious, European-style kitchens come with quartz countertops and stainless appliances, while bathrooms are equally stylish with Grohe fixtures. Each unit has a washer and dryer. Parking is available on-site at an additional charge. Cats and dogs are welcome on all floors (dog breed restrictions apply, but there is no weight limit) and there is a dog run for your furry friend. FEATURES Balcony-All Units Central Air-Yes Dishwasher-All Dogs-No Weight Limit Flooring-Hardwood Only Laundry- W/D In Unit Luxury Property Security-24 Hour Doorman Smoking-No Stove-Gas Shannon Grzywacz 616-915-1754 Hotspot Rentals Disclaimer: Photos may not be of exact unit available and may be of various model units and various vacant units. Apartment availability and lease terms may vary. Pricing, availability, and specials are subject to change at any time and without notice. Please note that the price may be net effective of a special or concession that the building is currently running. Information is believed to be accurate, however, is subject to errors and omissions. HotSpot Rentals services the following neighborhoods: South Loop, Printers Row, Near North, River North, Gold Coast, West Loop, Fulton River District, West Loop Gate, The Loop, Streeterville, Lakeshore East, New East Side, Old Town, Medical District, University Village, Near North, River West, Lincoln Park South, Lakeview, Uptown, Ukrainian Village, Wicker Park, Edgewater, Ravenswood, Bronzeville, Logan Square Is rent cheap, average, or expensive? <SEP>
", average, average
4,"Features :- Hardwood flooring / Carpet Refrigerator AC: Central Building Amenities Water Special Amenities: Granite kitchen counters Kitchen recently updated Recently rehabbed Recently renovated Stove Rent includes water only. Tenant pays: Gas , heating and electricity Street parking. PETS Not Allowed No smoking LEASE TERMS One year Is rent cheap, average, or expensive? <SEP>
", expensive, average
514,"Market rent: PRICE; advertised pricing reflects 1 month free rent, which is given in the first full month of the lease and cannot be prorated over the lease term. 1 Bedrooms from PRICE; 2 Bedrooms from PRICE prior to special. 1 Month Free applies to all June move-ins! Apartment Features: Washer & Dryer In-Unit Roller Shades Plank Flooring Quartz Countertops Subway Tile Backsplashes Garbage Disposal Dimmer Switches Industrial-Style Exposed Ductwork Community Features: Rooftop Deck with Spectacular Views Grills and Outdoor Dining Spaces Fire Pit and TV Viewing Areas Private Clubroom with Bar Fully-Equipped Fitness Center Fully-Equipped Dog Spa Heated Bike Storage Room Text Rebecca at 708-543-1626! There is no charge for my service to my clients. Contact me today for your showing! Rebecca Muraski Luxury Leasing Agent Downtown Apartment Company Pictures are representative samples of the advertised unit. In some cases, the actual units you tour may vary from the pictures based on the specific floor plan available. Availability and prices are subject to change (and often do change daily). Addresses, cross-streets, or other geographic information, if provided, is intended to provide a general location of the advertised unit only; you should not rely on any address provided in this advertisement as an exact location of the unit. Units are leased unfurnished unless otherwise specified. 12-month minimum lease term is standard for most units, but minimum term varies. Equal housing opportunity. Brokers, do not contact. Is rent cheap, average, or expensive? <SEP>
", average, expensive
526,"4829 N. Damen Ravenswood Notable one bedroom, one bathroom in the heart of Ravenswood features heat and cooking gas included, newer kitchen, large combination living and dining rooms with ceiling fan and built in shelves, spacious bedroom, great closet space, newer bathroom, hardwood floors throughout, laundry room in building, and pets are welcome! Steps to Mariano's, Ravenswood Metra stop, and Damen Brown Line! UA1701 Please Call Hayley Frazier at 847/322-1838‬ to schedule an appointment to view this apartment and mention Apartment ID: 40651. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing Is rent cheap, average, or expensive? <SEP>
", average, average
224,"PROPERTY INFO ID: 179619124 Rent: PRICE / Month Beds: 1 Bath: 1 Available Date: 01/16/2023 Parking:: street parking Contact Will Hill to Schedule Your Tour Today 630-209-4139(text preferred) Make sure you provide the ad info when contacting to better assist you! LOOKING FOR SOMETHING ELSE? FOLLOW LINK TO APARTMENT QUESTIONNAIRE BELOW <URL> **Ad Price Reflects 1 Month Free Lease Will Read PRICE** Located in the heart of Ravenswood. Featuring spacious floor-plans, modern finishes, and in-unit laundry, this property should be on your list. Right outside your door you'll find the Montrose Brown Line, shops, and countless bars and restaurants. FEATURES Bike Room Central A/C Dishwasher Elevator Pet Friendly Roof Deck William Hill 630-209-4139 North Star Real Estate Group COMPANY SOCIAL MEDIA Follow North Star Real Estate at <URL> Tik Tok <URL> *Photos may be of model unit or similar available unit and are representative of apartment finishes. Views may vary depending on floor height. Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
19,"Stop imagining and start living!!!This fantastic building is the best place to begin and end your day. With newly-renovated or classic apartment designs in one bedroom floor plan, there is an apartment for every lifestyle. In addition to our rooftop deck and convenient on-site dry cleaning with Pressbox, an entire suite of brand new amenities is underway including a media lounge and pantry, a communal workspace, an expansive fitness center with Peloton studio and more. Building amenities include an exercise room, 24/7 door staff, elevator, sun deck, on-site management, roof-top deck and a bike storage room. Dogs and cats are allowed. An ever-evolving and expertly reimagined piece of Chicago history, you can now make this place your new home! Schedule a viewing! Call OR Text us at (312) 522-5643 with your move in date, budget, location and # of beds/baths PROPERTY INFO ID: 303165139 Rent: PRICE / Month Beds: 1 Bath: 1 Available Date: 09/08/2022 Pet: Pet Friendly Is rent cheap, average, or expensive? <SEP>
", average, expensive
448,"location!location!location! The beautiful condo with tons of light is located in the heart of Oak Park and close to all -- transportation (metra and green line), the best restaurants and shopping, public library and renovated Scoville Park (tennis courts, slides, swings etc)! Lovely 1-br/1-ba with living room; FREE parking available; 3rd floor; new paint throughout the unit. new window installed last year! new floor through out with ceramic tile in kitchen and hallway; updated bathroom (new toilet, new mirror/medicine cabinet, new vanity and mosaic floor) updated kitchen (new granite counter top, new stainless steel dishwasher, oven range, ceramic tile), heating, water, garbage pickup are included in rent renter pays cooking gas, electricity and cable/internet 1-2 min to Green Line, Public Library, park, playground by walking 5-8 mins oak park elementary school, high school by walking 25-30 mins to downtown/UIC by Green line train 15 mins by car to Downtown Chicago for shopping and dinning Is rent cheap, average, or expensive? <SEP>
", cheap, average
312,"Room for rent available within a beautiful well maintained ranch house. Laundry on site. Furnished living room for leisure and relaxation. Big kitchen with all amenities and big backyard for fresh air and entertainment. No pets, no smoking. Close to downtown. First month payment and deposit required to rent. All amenities included: gas, electricity, water and INTERNET One year lease required. Call at 708-963-2847 Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
117,"PROPERTY INFO ID: 9049471 Rent: PRICE / Month Beds: 1 Bath: 1 Pet: Cats Allowed Parking:: attached garage River North Living with a balcony. Super Spacious Jr 1 bed with a great view of the city. 100 of 100 on walk <URL>. 1 minute to whole foods and 4 minutes walk to redline. 10 minutes to the beach. Perfect location Call me at 219-299-9042 ask for Apollo. Ideally situated between the River North and Gold Coast neighborhoods, this uber-central location has a Walk Score of 100 out of 100 meaning you’ll have easy access to everything you need, including trendy shops, endless dining options and a short hop to Michigan Ave. The CTA Red, Brown and Purple Lines are all within 3 blocks and you’ll be just a 10-minute walk to the lake! This spectacularly-located property offers a sundeck, outdoor pool, and on-site gym, in addition to on-site maintenance, dry-cleaning, package receiving and 24-hour door staff. Every apartment has an upgraded kitchen, with wood cabinets, granite countertops, and stainless steel appliances. All bathrooms are also upgraded with wood cabinets, granite counters and new lighting. These generously-sized units are highlighted with tons of closet space and private balconies. Parking is available on-site at an additional charge and cats are welcome. FEATURES Balcony-All Units Central Air-Yes Dishwasher-All Flooring-Carpet Only Laundry-On Site Pool-Outdoor Security-24 Hour Doorman Smoking-No Stove-Electric Value Property Apollo Russell (219) 299-9042 HotSpot Rentals(License #481.011892) Disclaimer: Photos may not be of exact unit available and may be of various model units and various vacant units. Apartment availability and lease terms may vary. Pricing, availability, and specials are subject to change at any time and without notice. Please note that the price may be net effective of a special or concession that the building is currently running. Information is believed to be accurate, however, is subject to errors and omissions. HotSpot Rentals services the following neighborhoods: South Loop, Printers Row, Near North, River North, Gold Coast, West Loop, Fulton River District, West Loop Gate, The Loop, Streeterville, Lakeshore East, New East Side, Old Town, Medical District, University Village, Near North, River West, Lincoln Park South, Lakeview, Uptown, Ukrainian Village, Wicker Park, Edgewater, Ravenswood, Bronzeville, Logan Square Is rent cheap, average, or expensive? <SEP>
", average, cheap
465,"PROPERTY INFO Rent: PRICE / Month 1BR/1BATH MOVE IN FEE WAIVED! - Heat, water and cooking gas included - Available October 15 - Hardwood flooring - Ceiling fans - Formal dining room - Coin operated laundry on site - Close to public transportation, grocery stores and more! To schedule a showing, please contact: Stefani Ivezic- Peraza Real Estate Broker Landstar Realty Group 312-860-3333 Landstar Realty Group is an equal opportunity housing provider. All properties advertised on this website are subject to the Federal Fair Housing Act, the Illinois Human Rights Act, and the Chicago Residential Landlord Tenant Ordinance. We are committed to upholding the purpose and spirit of these policies. Is rent cheap, average, or expensive? <SEP>
", average, cheap
78,"Interested in this property? Click on: Reply to this listing for more information ** if you are texting us, please include the link to the listing so we can identify what you are inquiring on Take advantage of this awesome convertible unit now! Velocity Apartment Group 312-253-7403 *****For faster response from one of our Agents, please provide your cell phone number, move date and email address when inquiring. Thank you. Availability and pricing may change at any time without notice. Ads subject to errors and omissions. Please contact agent for additional questions and information. Interested in this property? Click REPLY above and email us ** if you are texting us, please include the link to the listing so we can identify what you are inquiring on Is rent cheap, average, or expensive? <SEP>
", average, average
443,"1 East Scott 1703 Chicago, IL  60610 PRICE / Month --------------------------- Interested in this property? Reply to this listing for more information. --------------------------- Property Details: 1 BEDROOMS | 1 BATHROOMS *Available furnished for PRICE/month*Quiet, beautiful, northeast facing corner unit on the 17th floor with lake views. Fully renovated in the heart of the Gold Coast! Custom Italian kitchen cabinets and new hardwood flooring. Large walk-in closet with brand new organization system. Internet/cable included - just pay electricity!Rooftop pool overlooking city skyline, 24/7 doorman, parking available for rent in attached garage. Jewel, Aldi, Dom's, Whole Foods all within walking distance. Equinox, FFC and plenty of restaurants nearby. Extremely desirable location.*pet fee applies for cats; sorry, no dogs are allowedNo smoking shall be permitted inside the unit. Attached garage parking is available for PRICE monthly or also offer daily rates. Utilities - just pay electric! Average is ~PRICE/monthFull lease terms to be shared upon inquiry. ***No Pets Allowed*** Property Type: Condo Lease Terms: PRICE/Month PRICE Deposit Lease Length: One Year Available: 04/01/2023 Unit Amenities: Dishwasher Refrigerator Microwave Freezer Oven Building Amenities: Cable Ready On Site Laundry Swimming Pool Secure Building Near Parks Furnished Bicycle Parking Garage Off Street Parking Wired For Internet --------------------------- Interested in this property? Reply to this listing for more information. Is rent cheap, average, or expensive? <SEP>
", expensive, average
548,"Furnished Studio - Great Monthly Rates! Take advantage of our special discounted rate! All utilities are included! 888-844-0952 Looking for a place to call home for a month or longer? We have everything you need without the hassles of traditional apartments, all at a great rate. Each room comes with a fully equipped kitchen and plenty of workspace. And unlike apartments, cable and Wi-Fi are already hooked up and free! With no leases and no credit checks, we are move-in ready. So just bring yourself – and your furry family member – and feel right at home. Property Amenities All Rooms Non-Smoking Pet-Friendly Rooms Available Weekly Housekeeping Included Free Grab-and-Go Breakfast On-Site Guest Laundry On-Site Fitness Facility Picnic & Grilling Area Free Off-Street Parking In-Room Amenities Fully Equipped Kitchens Full-Size Refrigerator Electric Range Microwave Free In-Room Wi-Fi Flat Screen TVs Free Cable with Premium Channels Iron & Ironing Board Staying less than 1 month? We also have great nightly and weekly rates. Call for details. Booking conditions apply. Advertised rate is for a 30-night stay, and will vary by room type and stay dates. Rates and availability subject to change. Rate not inclusive of taxes or fees. Actual room may vary from those shown. Pets are always welcome at Extended Stay America. A maximum of two pets are allowed in each suite. Pet fees vary by location to cover the cost of cleaning and guest room fumigation. Service animals will be exempt from this charge. Height and length restrictions apply: pets can be no longer than 36 inches and no taller than 36 inches. Larger, or more than two pets requires property manager’s approval. Please contact the property for questions. This site may contain errors, inaccuracies, omissions or incomplete data (including without limitation mistaken hotel rates or availability). Extended Stay America reserves the right to rescind any stated offer and to correct any errors, inaccuracies or omissions including after a reservation order has been submitted and whether or not the order has been confirmed and your credit card charged. Extended Stay America Suites - 1207 E. Touhy Ave., Des Plaines, IL 60018 Is rent cheap, average, or expensive? <SEP>
", average, average
365,"3720.5 N. Pine Grove Wrigleyville Comfortable one bedroom, one bathroom in beautiful Wrigleyville courtyard building! Unit features updated kitchen with dishwasher, separate dining area, large living room, ceiling fan, hardwood floors throughout, updated bathroom, large bedroom, ample closet space, pet friendly, on-site laundry room, and more! Walking distance to transportation, shopping, nightlife, and Lake Michigan! UA1701 Please Call Timothy Weinert at 215/499-1336‬ to schedule an appointment to view this apartment and mention Apartment ID: 25651. Urban Abodes 215/499-1336‬ <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
42,"Interested in this property? Click on: Reply to this listing for more information ** if you are texting us, please include the link to the listing so we can identify what you are inquiring on Velocity Apartment Group 312-253-7403 *****For faster response from one of our Agents, please provide your cell phone number, move date and email address when inquiring. Thank you. Availability and pricing may change at any time without notice. Ads subject to errors and omissions. Please contact agent for additional questions and information. Interested in this property? Click REPLY above and email us ** if you are texting us, please include the link to the listing so we can identify what you are inquiring on Is rent cheap, average, or expensive? <SEP>
", expensive, average
180,"Furnished Studio - Great Monthly Rates! Take advantage of our special discounted rate! All utilities are included! 888-844-0952 Looking for a place to call home for a month or longer? We have everything you need without the hassles of traditional apartments, all at a great rate. Each room comes with a fully equipped kitchen and plenty of workspace. And unlike apartments, cable and Wi-Fi are already hooked up and free! With no leases and no credit checks, we are move-in ready. So just bring yourself – and your furry family member – and feel right at home. Property Amenities All Rooms Non-Smoking Pet-Friendly Rooms Available Weekly Housekeeping Included Free Grab-and-Go Breakfast On-Site Guest Laundry Picnic & Grilling Area Free Off-Street Parking In-Room Amenities Fully Equipped Kitchens Full-Size Refrigerator Electric Range Oven Microwave Free In-Room Wi-Fi Flat Screen TVs Free Cable with Premium Channels Iron & Ironing Board Staying less than 1 month? We also have great nightly and weekly rates. Call for details. Booking conditions apply. Advertised rate is for a 30-night stay, and will vary by room type and stay dates. Rates and availability subject to change. Rate not inclusive of taxes or fees. Actual room may vary from those shown. Pets are always welcome at Extended Stay America. A maximum of two pets are allowed in each suite. Pet fees vary by location to cover the cost of cleaning and guest room fumigation. Service animals will be exempt from this charge. Height and length restrictions apply: pets can be no longer than 36 inches and no taller than 36 inches. Larger, or more than two pets requires property manager’s approval. Please contact the property for questions. This site may contain errors, inaccuracies, omissions or incomplete data (including without limitation mistaken hotel rates or availability). Extended Stay America reserves the right to rescind any stated offer and to correct any errors, inaccuracies or omissions including after a reservation order has been submitted and whether or not the order has been confirmed and your credit card charged. Extended Stay America Suites - 1207 E. Touhy Ave., Des Plaines, IL 60018 Is rent cheap, average, or expensive? <SEP>
", average, average
500,"3831 N. Fremont Wrigleyville Phenomenal one bedroom, one bathroom in Wrigleyville features electric, heat, and gas included, newer kitchen, separate dining area, large living area with ceiling fan, spacious bedroom, great closet space, newer bathroom, laundry room in building, carpeting, and pets are welcome. Close to Wrigley Field and Sheridan el stop! UA1701 Please Call Maloo Lozada at 312/646-9161‬ to schedule an appointment to view this apartment and mention Apartment ID: 33124. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
245,"Call Craig Persin with Apartment Guys at 773-343-7745 and ask for reference #2201767. This luxurious building has all of the bells and whistles you could ever want! It has all of the wonderful amenities such as a lounge area, outdoor grills, outdoor pool, fitness center, door staff, a pet club and on-site management. The apartments have beautifully updated kitchens with granite countertops and stainless steel appliances including a dishwasher and microwave. They also have hardwood floors, in unit washer and dryer and some units have spectacular balconies! Prices are subject to change. ***Photos may be of a similar unit.****For faster response best to call or text Craig Persin at 773-549-7745 with reference #2201767 Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
133,"Be the first to rent this remodeled corner unit (7G). Unit has a balcony with beautiful views of Downtown and the Lake. The building has everything your looking for in a building including doorman, pool, workout facilities, sauna and much much more. Everything in this unit is new from the flooring to the appliance to the bathroom vanity and more. Close to transportation, restaurants, lake and the Linoln Park Zoo. If closet space is important then this is the place for you. Available now. Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
292,"612 W. Patterson Wrigleyville Fantastic one bedroom one bathroom in Wrigleyville midrise! Unit features cooking gas included, brand new kitchen with espresso cabinets, stainless steel appliances, dishwasher, large combination living and dining rooms with ceiling fan, hardwood floors, spacious bedroom, amazing closet space, laundry room in building, brand new bathroom, and pets are welcome! UA1701 Please Call 773/612-9970‬ to schedule an appointment to view this apartment and mention Apartment ID: 22270. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing Is rent cheap, average, or expensive? <SEP>
", average, average
447,"*Call/text Max with the Apartment Guys at 630-405-8540 with reference #2199071* Live in this spacious 1 bedroom in Buena Park for a very affordable price! The building has laundry on-site, a new intercom system, and a lovely lobby area. HEAT INCLUDED!! Cats are allowed and the apartment has hardwood floors throughout the unit. Tons of space and separation with approximately 600 square feet to work with. **Pictures may be of similar unit, prices subject to change** ** For faster response contact Max with reference #2199071** Max Chamberlain -(630) 405-8540 Leasing Consultant Apartment Guys Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
161,"Call Dan at Apartment Guys 773-490-0966 and ask for reference #2193761. The classic beautiful one bedroom has been remodeled with hardwood floors, newer stainless steel appliances including a dishwasher and microwave. Enjoy lounging in this magnificent lobby and common areas including a fitness center and roof deck! Enjoy the smart card laundry system! Prices are subject to change. ***Photos may be of a similar unit. *** *For faster response best to call or text 773-490-0966 with reference #2193761 Is rent cheap, average, or expensive? <SEP>
", average, expensive
545,"746 W. Addison Wrigleyville Prime one bedroom, one bathroom in the heart of Wrigleyville features cooking gas included, beautiful new kitchen with granite countertops, stainless steel appliances, dishwasher, microwave, spacious living area, hardwood floors, large bedroom, great closet space, new bathroom, in unit laundry, pets welcome, one block from Addison Red Line! Steps to Wrigley and nightlife! UA1701 Please Call Jackie Smook at 303/358-8821‬ to schedule an appointment to view this apartment and mention Apartment ID: 26496. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
498,"4904 N. Hoyne Ravenswood Perfected one bedroom one bathroom Ravenswood apartment features heat included, new kitchen with granite countertops, stainless steel appliances, dishwasher, microwave, separate dining area, spacious living room, huge bedroom, awesome closet space, new bathroom, hardwood floors throughout, pets welcome, and laundry room in building! Walking distance to CTA Brown Line and Ravenswood Metra trains! UA1701 Please Call Shelima Smith at 773/612-9970‬ to schedule an appointment to view this apartment and mention Apartment ID: 24136. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
519,"554 W. Aldine Lakeview Comfortable one bedroom one bathroom in Lakeview courtyard building features newer kitchen with dishwasher, separate dining area, spacious living room with ceiling fan, beautiful hardwood floors throughout, large bright and sunny windows, large bedroom, great closet space, newer bathroom, laundry room in building, and pets are welcome! Steps to nightlife, shopping, transportation, and more! UA1701 Please Call Maloo Lozada at 312/646-9161‬ to schedule an appointment to view this apartment and mention Apartment ID: 30491. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing Is rent cheap, average, or expensive? <SEP>
", average, cheap
574,"See better photos and SCHEDULE A SHOWING at: <URL> No, it's not a hyperlink. :-(  You still have to copy-and-paste this link into the address bar on your web browser. Newly Rehabbed Cozy 1 Bed in Bricktown 2959 N Damen - 2D, Chicago, IL, 60618 PRICE per month Available August 1st 1 bed, 1 full bath 600 sq. ft. Live in this beautiful, quaint apartment in a great location in Bricktown! Lots of light in this cozy 1bed! Amenities include: -Hardwood floor throughout -Granite counter tops -Dishwasher -Gas included You will be a few blocks from: -Costco -Beautiful Hamlin Park -Tons of retail on Clybourn -Quick Access to the Highway PET FRIENDLY* 625+ Credit Score Required Income of 3x the monthly rent required PRICE MOVE IN FEE PER PERSON, PRICE PER PERSON IF MORE THAN ONE PRICE PET FEE PER PET ALONG WITH PRICE/MONTH IN PET RENT PRICE APPLICATION FEE PER PERSON (OVER 18) Contact Us: Campbell Street Asset Management Bailey McPherson 773.232.5175 See better photos and SCHEDULE A SHOWING at: <URL> Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
233,"4904 N. Hoyne Ravenswood Brilliant one bedroom one bathroom Ravenswood apartment features heat included, rehabbed kitchen with stainless steel appliances, dishwasher, microwave, separate dining area, spacious living room, large bedroom, awesome closet space, updated bathroom, gorgeous hardwood floors throughout, pets welcome, and laundry room in building! Walking distance to CTA Brown Line and Ravenswood Metra trains! UA1701 Please Text or Call Michael Maneykowski at 323/840-4067 to schedule an appointment to view this apartment and mention Apartment ID: 26018. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing Is rent cheap, average, or expensive? <SEP>
", average, average
552,"Good evening! I am currently looking for someone to sublet my current apartment 8/1-10/19. I am currently residing at Presidential Towers in West Loop in a 1 bedroom convertible of 596 sq ft. Rent is PRICE a month. Pets (cats and medium sized dogs) are allowed, but a pet deposit and pet fees are required. Parking is not included, but you can add garage parking for PRICE/month. Renter is responsible for internet and electric while the rest (water, sewage, trash) is covered. 24/7 door staff. FOB key access to towers and common areas. For more on amenities, check out Presidential Tower's website. Subletter would need to complete sublease form along with rental application through Presidential Towers leasing office. Furniture in the pictures is not included. If you're interested in subletting, please feel free to respond here or email me directly. Thanks in advance! Is rent cheap, average, or expensive? <SEP>
", average, cheap
