documents,poverty,race,class
"Lakeview Wonderful four bedroom, two bathroom duplex in the heart of Lakeview features updated kitchen with breakfast bar, dishwasher, open large combination living and dining rooms, tall ceilings, ceiling fan, hardwood floors, carpeted lower level, central heat and air, large bedrooms, great closet space, updated bathrooms, laundry room in building, and cats are welcome. Close to Wellington el stop! Please Call Gabriela Cubero at 312/927-0788 to schedule an appointment to view this apartment and mention Apartment ID: 46244. Urban Abodes 312/927-0788 www.urbanabodes.com 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing']",nonpoor,aawhite,nonpoor_aawhite
"Visit our website to view videos of our available apartments or call now to schedule a virtual tour! All you need is an internet connection."" \U0001fad6312-598-1594\U0001fad6 1-2 bedrooms, 1 bathroom 625-725 sq. ft. Price $1,250-$1,450 Arlington Heights (E. Kensington Rd., & S. Dryden Place) (60004)', ""Subway, Egg Harbor Cafe, Somebody's, Cardinal Wine & Spirits, Recreation Park, Windsor Elementary School, Beverly Lanes, & Ben Franklin Bank of Illinois."", 'This location is a 17 minute walk from the UP-NW Union Pacific Northwest at the Arlington Heights stop. Amenities: Controlled Access, Courtyard, On-site Laundry, Package Reception, Phone Entry Intercom, Public Transportation, Storage Available, Business Center, Green Building, Indoor Bike Storage, Parking, On-site Property Manager, Recycling, Cable Ready, Carpet, Eat-in kitchen, Granite Countertops, Heat Included, High-end finishes, Large Closets, Stainless Steel Appliances, Two-Tone Paint, View, Vinyl Plank Floor, and AC **NOTE** If replying by email please remember to include your name, phone # and/or email address in your response so we can follow up with you directly. PLEASE CALL FOR PROMPT SERVICE: ↬ 312-598-1594 ↫ ***Please note that photos are a representation of a model apartment and may not be pictures of actual unit. “Lumen Property Management practices on-going dynamic pricing for all operated units. Unit promotions, discounts, and monthly rent quotes are subject to change based on day of month, current inventory, and additional market factors. As such, any promotions, discounts, or monthly rent quotes are valid only at the time presented to a prospective tenant and can expire anytime thereafter.” ""Lumen Property Management is an Equal Housing Opportunity provider"" c0001dry 3-19 N Dryden Place']",nonpoor,aawhite,nonpoor_aawhite
"ID: 238623518 Rent: $3,795 / Month Beds: 3 Bath: 2 Available Date: 08/01/2022 Pet: Cats Only Rent Includes:: Water Parking:: street parking Completely renovated Lakeview, three-bedroom, two baths with a beautiful gas fireplace. The kitchen boasts new stainless steel appliances including a dishwasher, elegant expresso wood cabinetry, granite countertops. Large bedrooms easily accommodate any size bed and have plenty of closet space. The gleaming hardwood floors and high ceilings add to the openness of this apartment. Central air conditioning, convenient in-unit laundry and parking available in the rear. This unit also includes an energy-efficient HVAC system and water heater. This unique elevator building is located just three blocks from Wrigley Field and is surrounded by numerous bars, restaurants and theaters on Clark Street. Transportation is also convenient; the Addison CTA Red Line train station is just three blocks north and the #22 Clark, which runs to the loop all night long, is just outside the door. NO SECURITY DEPOSIT! $150.00 Application Fee Per Person $100.00 Move-in Fee Per Bedroom NO DOGS, Cats ok! Advertised rent prices are subject to change without notice! Chicago Apartment Place Inc. 773.472.3713']",nonpoor,aawhite,nonpoor_aawhite
"Private balcony, washer & dryer in unit, secured garage parking space, central heating and cooling, hardwood floors, 13-foot wood bean ceilings, top summer deck, Steps and next door to the 606-trail entrance, two blocks from the Western Blue Line Stop. Easy access to 90/94 highway, walking distance to Bucktown and Wicker Park nightlife shops, restaurants, grocery stores, etc. Pet friendly with extra fee applicable. Moving day July 2nd.']",nonpoor,aawhite,nonpoor_aawhite
"Click on: Reply to this listing for more information ** if you are texting us, please include the link to the listing so we can identify what you are inquiring on Velocity Apartment Group 3122537403 *****For faster response from one of our Agents, please provide your cell phone number, move date and email address when inquiring.  Thank you. Availability and pricing may change at any time without notice. Ads subject to errors and omissions. Please contact agent for additional questions and information. Interested in this property? Click REPLY above and email us ** if you are texting us, please include the link to the listing so we can identify what you are inquiring on']",nonpoor,aawhite,nonpoor_aawhite
"Click on: Reply to this listing for more information ** if you are texting us, please include the link to the listing so we can identify what you are inquiring on This amazing Luxury High Rise Building is located in the heart of Streeterville just steps away from the Lake. This building is just steps off of Michigan ave, the Lake, Northwestern, and Navy Pier and offers extremely easy access to freeways  and public transportation. Take advantage of this awesome convertible now. Pets are ok. Garage parking extra.  No security deposit.  This building has fabulous amenities including: -Spectacular lake and city views -Spacious floor plans and tons of closet space -24 hour doorman and dedicated maintenance staff -14,000 sq ft fitness center with indoor pool and jacuzzi -Rooftop sundeck with amazing lake and city views -Kindercare if you have children -Business center with conference room   This unit offers a great floor plan with luxurious views and includes: -Tons of closet space and walk In closets -Rare garbage disposal in the Kitchen -Gorgeous appliances and cabinetry in kitchens and bathrooms  -Beautiful ceramic tile baths Take advantage of this beautiful jr 1 bed unit. Velocity Apartment Group 312-253-7403 *****For faster response from one of our Agents, please provide your cell phone number, move date and email address when inquiring.  Thank you. Availability and pricing may change at any time without notice. Ads subject to errors and omissions. Please contact agent for additional questions and information. Interested in this property? Click REPLY above and email us ** if you are texting us, please include the link to the listing so we can identify what you are inquiring on']",nonpoor,aawhite,nonpoor_aawhite
"2 bedroom, living room, kitchen. 1 car garage. Pets welcomed.  Good neighborhood and schools. $1425 month. Call 708-612-5040 after 12 noon for more details.']",nonpoor,aawhite,nonpoor_aawhite
"Rehabbed River North studio with a private balcony! This studio features floor to ceiling windows with amazing views of the city, tenant controlled heat and central air conditioning, in unit laundry and an updated kitchen with a dishwasher. Located in a full amenity high-rise building with a sundeck, fitness center, business center, on-site grocery store, dry cleaners, and a salon!  Walking distance to great Gold Coast restaurants, shopping, entertainment, and much more! Small cats and dogs are okay. Prices are subject to change.***Photos may be of a similar unit. * For faster response best to call or text 773-549-3474 with reference #128731']",nonpoor,aawhite,nonpoor_aawhite
"Nice deal on a bright large rehabbed 2 bedroom. The apartment has hardwood floors, newer kitchen, dishwasher, porch, yard, parking available and heat included. Close to everything. Red line, lake, shopping, Wrigley and fun nightlife nearby. Contact Tim for more details. Tim Grimes Apartment People Equal Housing Opportunity']",nonpoor,aawhite,nonpoor_aawhite
"ID: 280224598 Rent: $2,625 / Month Beds: 1 Bath: 1 Pet: Pet Friendly This price is unbelievable for such a desirable building so units are going quickly!!', ""Call/Text Azalia at 630.853.6340...Hurry and schedule your tour before they're gone!"", 'Brand new in 2022, this 7-story apartment complex brings an elevated luxury living option to renters in Chicago’s Lakeview neighborhood. It is within walking distance to the Lakefront Trail, park district golf course and tennis courts, Wrigley Field, and loads of neighborhood bars and restaurants. Designed with artistic and sophisticated details, each unit is filled with modern luxury finishes. Floor-to-ceiling windows flood sunlight through the open floor plans, with hardwood flooring.  Kitchens are outfitted with modern stainless steel appliances, stone countertops, and in-unit washer/dryer. Hospitality service is infused in the vast amenity spaces. A whopping 40,000 square feet is dedicated to a fitness area, basketball and pickleball court, golf simulator putting green, conference rooms, commercial kitchen, roof sun deck and pool. Available on-site services include in-home package delivery, grocery delivery, dry cleaning, plant watering, massage therapy, room service by Pear Chef, and personal fitness training classes. Pets are welcome, and have their own extensive amenities and services too! There is a dog run, as well as a pet spa with grooming, dog walking and pet sitting. Garage parking is available with additional fees FEATURES Balcony-Some Units Central Air-Yes Dishwasher-All Dogs-No Weight Limit Fitness Center Flooring-Hardwood Only Laundry- W/D In Unit Luxury Property New Property Pool-Outdoor Security-24 Hour Doorman Smoking-No Stove-Gas Disclaimer: Photos may not be of exact unit available and may be of various model units and various vacant units. Apartment availability and lease terms may vary. Pricing, availability, and specials are subject to change at any time and without notice. Please note that the price may be net effective of a special or concession that the building is currently running. Information is believed to be accurate, however, is subject to errors and omissions. HotSpot Rentals services the following neighborhoods: South Loop, Printers Row, Near North, River North, Gold Coast, West Loop, Fulton River District, West Loop Gate, The Loop, Streeterville, Lakeshore East, New East Side, Old Town, Medical District, University Village, Near North, River West, Lincoln Park South, Lakeview, Uptown, Ukrainian Village, Wicker Park, Edgewater, Ravenswood, Bronzeville, Logan Square']",nonpoor,aawhite,nonpoor_aawhite
"ID: 67809332 Rent: $4,950 / Month Beds: 2 Bath: 2.5 Available Date: 06/01/2022 Pet: No Cat, Dogs Negotiable Rent Includes:: Garbage, Water Parking:: off-street parking --WOW--HIGH END--FULL GUT REHABBED 2 BED 2.5 BATH-- This 1,750 sq ft full gut rehab 2 bed 2.5 bath is calling your name. Massive bedrooms each with their own bathroom. Half bath tucked away for guests to use. Wine Fridge High ceilings Tons of natural light High end finishes This unit is close to everything you need: Whole Foods Marianos Walgreens Gas Station (Shell) 2 Dog Parks/Parks Access to 290 and 90 Hottest Bars and Restaurants Near the Blue Line Madison St Bus $400 one-time move-in fee and PET FRIENDLY with one-time $300 pet fee. More photos coming CALL OR TEXT Patrick 708.902.2266 @markey_real_estate @apartmentsource FEATURES Cats Ok Ceiling Fans Central Air Central Heat Dining Room Disposal Dogs Ok Eat-in Kitchen Family Room Gut Rehab Hardwood Floors High Ceiling Laundry in Unit Microwave Modern Modern Bathroom Modern Kitchen New Appliances Parking Available Quartz Countertops Spacious Closets Stainless Steel Appliances Storage Unit Walk-Up Patrick Markey Licensed Leasing Agent 708 902 2266 TAS The Apartment Source Call or text: 773.404.9900']",poor,aawhite,poor_aawhite
"Heat, Hot Water, & Trash Included! New Kitchen Cabinets, Granite Counters, & SS Appliances! (Dishwasher is being swapped for Stainless Steel) Brand New Bathroom! Hardwood Floors, Fresh Paint, & Big Windows! Great Size Living Room, Dining Area, & Large Bedroom! Secure Entry & Onsite Laundry! Call, Txt, Or Email Joseph Perez Landstar Realty Group, Inc. 630-709-1606']",nonpoor,aawhite,nonpoor_aawhite
"Fresh, neutral paint, engineered hardwood flooring, and recessed lighting throughout. The kitchen features new stainless steel appliances including a dishwasher, microwave, oven/range, and refrigerator. It is beautifully adorned with white quartz countertops, 42-inch white shaker wall cabinets, and ceramic white subway tile backsplash. Garbage disposal and an ice maker installed. Living room and all bedrooms are cable ready. New luxury bathrooms with beautiful ceramic white subway wall tiles and matte porcelain floor tiles. In-unit washer and dryer. Central heat and air conditioning. Front door intercom system. Keyless entry. Porch right off of the kitchen. Amazon key installation (for safe delivery of packages). ABOUT THE NEIGHBORHOOD: WHAT MAKES THIS LOCATION FAVORABLE? Very hip, safe and quiet area of Logan Square. A block away from Kosciuszko Park with a dog park. Great quite building in a nice residential area, but only blocks from all restaurants, nightlife, shopping, Metra, Blue Line El, HWY 90/94, and parks. ABOUT THE COMPANY: WHAT MAKES US UNIQUE TO YOU? We own and manage this apartment so you won’t be dealing with a slow-to-respond third-party management company.', ""We are responsive and care about the quality of the property since it's a part of the owner’s real estate portfolio."", 'Plus, our fantastic management team will maintain your lawn care and shovel the snow. Our 24-hour online portal also allows tenants to submit any work order at any time with a quick response time from our office. Ultimately, we are truly committed to making your NXT apartment feel like home. FEES Application Fee: $75/applicant Move-in Fee: $500 One-time Pet Fee: $250/pet Pet Rent: $25/month/pet Parking: $100/month REQUIREMENTS 650+ credit score Combined income 3x’s the monthly rent ADDITIONAL INFORMATION Pet-friendly. No security deposit. $500 move-in fee. Water, trash, and sewer included with rent. $75 application fee Nick Gasic Real Estate Broker NXT Realty']",nonpoor,aawhite,nonpoor_aawhite
"AVAILABLE NOW FEATURES: UTILITIES INCLUDED 1 BEDROOM 1 BATHROOM FRIDGE & STOVE INCLUDED SHARED LAUNDRY ON SITE. LOCATION: NEAR 90 EXPRESS WAY CLOSE TO IRVING METRA TRAIN STOP LESS THAN 1 MILES FROM 6 CORNERS MILWAUKEE, IRVING & CICERO. STOVE AND FRIDGE PROVIDED. REQUIREMENTS: $60 APPLICATION FEE (INCLUDES CREDIT  CRIMINAL BACKGROUND CHECK) MUST HAVE GOOD CREDIT 2 RENTAL REFERENCES WITH PROOF. EMPLOYMENT VERIFICATION.']",nonpoor,aawhite,nonpoor_aawhite
"The rents is $1050 per month. Heat and cooking gas are included. Near public transportation.', ""Security deposit is one month's rent with good credit, One and one-half month's rent with no credit or not-so-good credit."", 'There are two things you need to pay before moving in.', ""The security deposit when we sign the lease and the month's rent"", 'when I give you the keys. I can show it Saturdays at 11:00 am or during the week (please call for appointment). The best way to contact me is by telephone (708-906-2865). If no answer please leave a message.']",nonpoor,black,nonpoor_black
"Click on: Reply to this listing for more information ** if you are texting us, please include the link to the listing so we can identify what you are inquiring on Velocity Apartment Group 312-253-7403 Availability and pricing may change at any time without notice. Ads subject to errors and omissions. Please contact agent for additional questions and information. Interested in this property? Click REPLY above and email us ** if you are texting us, please include the link to the listing so we can identify what you are inquiring on']",nonpoor,aawhite,nonpoor_aawhite
"-In-Unit Laundry -Central Air -Private Outdoor Space -Hardwood Floors throughout -Stainless Steel Appliances -Granite Countertops -Across the street from the 606 Trail LOCATION! LOCATION! LOCATION! This property is nestled in one of the best pockets of Bucktown! Metra Clybourn Stop and Kennedy/I90 expressway are only 3 blocks away.', ""Bucktown Pub, Lotties, Mable's Table, Target, Costco, Mariano's, Mid-Town Athletic Club, Damen & Wicker Park Entertainment District, and much more are all located outside your door or within the area."", 'St. Mary of The Angels and the 606 Trail are across the street, and Drummond Montessori is around the corner! A first-floor two-bedroom, one-bath, apartment with a clean and modern layout. High ceilings, hardwood floors, and tons of windows let in an amazing amount of natural sunlight. Essential amenities like central air, in-unit laundry, private deck, dishwasher, microwave, and garbage disposal. Large eat-in kitchen that features granite countertops, stainless steel appliances, 42-inch cabinets, and a gas range. A large bathroom that has double vanity sinks, an oversized glass shower, and good storage. Bedrooms fit queen beds & have great closet space. The building also offers a shared patio and private parking for rent. Easy street parking. We are pet-friendly, and a NON-SMOKING building... Please note: We are not a rental agency or management company. We are the owners of this property, which means you will get the best price, better service, and more honest information. All of our units are Pet-Friendly, with central A/C and Laundry. We have more than 100 other apartments located throughout WestTown neighborhoods: Bucktown, Wicker Park, Ukrainian (UK) Village, & Logan Square (60622, 60647, 60642, 60614, 60618). You can view them all on our website which has pictures, floor plans, and lists of amenities. Hanging Out, LLC: www.hangingout.net']",nonpoor,aawhite,nonpoor_aawhite
"ID: 177974287 Rent: $4,500 / Month Beds: 3 Bath: 2.5 Available Date: 07/01/2022 Pet: Pet Friendly Rent Includes:: Heat Parking:: attached garage Must Top Floor Condo Penthouse in the South Loop Includes the Following: * Hardwood Floors * High Ceilings * Living Room & Dining Room * Lots of Natural Lighting * DUPLEX * Gourmet Style Kitchen * Granite Counter Tops * Stainless Steel Appliances * Dishwasher, Disposal, & Microwave * Maple Cabinetry * Marble Bathrooms * Dual Vanities & Jacuzzi Tubs * Central Air Conditioning * In-unit Laundry * Pets Okay * Garage Parking Included * Close to EL, Lake, Museum Campus, & Much More! Marquee building FEATURES Cats Ok Central Air City View Dining Room Dishwasher Disposal Dogs Ok Duplex Garage Garage Parking Available Granite Counter Tops Hardwood Floors High Ceiling Jacuzzi Tub Lake View Laundry in Unit Maple Cabinetry Marble Bath Microwave Modern Bathroom The Apartment Source Call or text: 773.272.1860']",nonpoor,aawhite,nonpoor_aawhite
"-4 bedrooms, 2.5 bathrooms, 1 loft on the 2nd floor, 1 balcony, 2 car garages -Central air conditioning and gas heating. All appliances included - Beautiful landscaped and great neighborhood -Very close to big shopping mall and highway I -55 *****MUST LEAVE PHONE NUMBER FOR RESPONSE*****']",nonpoor,aawhite,nonpoor_aawhite
STAINLESS STEEL APPLIANCES IN KITCHEN. the building has a beautiful rooftop as well! FEATURES: -Pet Cats allowed -Close to the CTA Red Line -Walking distance to Wrigley Field -24 Hour Engineer AMENITES: -Wired Internet -Fitness -Laundry -Bike Storage UTILITIES INCLUDE: -Trash -Water Matt Byars Leasing Agent 847-809-1601 m b y a r s @ b j b p r o p e r t i e s . c o m BJB Properties inc Prices subject to change Pictures are for marketing purposes only and may not reflect actual unit'],nonpoor,aawhite,nonpoor_aawhite
"Spacious studio in prime location Gold Coast! Included in rent: Trash, gas, and water. Complimentary FIBER wired optic internet!! Building features/amenities: - Secured entry - On site laundry room - Bike Storage - Fitness center Building does not offer parking - street parking or nearby garages available (Spot Hero highly recommended)! If you have any questions or would like to book a tour, please contact me via email, phone or text! Nick Vasilevski | Illinois Residential Leasing Agent BJB Properties 224-319-2741 *Pricing and availability is subject to change *Pictures may represent model or unit with same or similar layout *Units are NOT furnished']",nonpoor,aawhite,nonpoor_aawhite
"This large, spacious floorplan at over 800 Sq ft  has just what you’re looking for! It has hardwood floors, a rehabbed kitchen with stainless steel appliances including a dishwasher, rare central air conditioning, laundry in the unit and a large deck! Prices are subject to change.***photos may be of a similar unit.****For faster response best to call or text 773-549-3474 with reference #2202230']",nonpoor,aawhite,nonpoor_aawhite
"Secured entries, private living. Parking available, water included. Stunning Oak floors throughout with laundry in the unit.', ""11' ceilings, great natural light."", 'Modern/Lofty. Minutes to Loop, Universities, Medical Centers, and all of the Hottest Bars & Restaurants! All means of Public Transportation; Blue, Green, and Pink Lines, Highways (90/94), Police - 911 Headquarters, all the Suburbs. Walking distant to 2 dog parks, basketball/tennis courts and Whitney Young HS playfield. Showings and virtual tours available!! Charlie 312-388-6775 Video and more photos to come']",nonpoor,aawhite,nonpoor_aawhite
"ID: 290091448 Rent: $1200 / Month Beds: 1 Bath: 1 Available Date: 06/01/2022 Pet: Cats Only Rent Includes:: Heat, Hot Water, Water Parking:: street parking Note: Photos may display another unit. Please contact us with any comments/questions or to schedule a showing today!! ** Fair Housing – Equal Opportunities ** Contact Hours: Monday – Friday 9am – 5pm Cagan Management, Inc. ** Please note: the move-in date is stated, we do NOT allow earlier move-ins. Thank you for understanding, CM. FEATURES Cable Ready Cats OK Gas Range Hardwood Floors Heat included Oven/Range Pest Control Recycling Refrigerator Street Parking Water included Window Coverings Window Unit A/C']",nonpoor,aawhite,nonpoor_aawhite
"ID: 292953976 Rent: $3,163 / Month Beds: 3 Bath: 2 Available Date: 04/01/2022 Pet: Pet Friendly Rent Includes:: Gas, Heat, Hot Water, Internet, Water Parking:: attached garage Actual Rent is $3450 - we are offering 1 month free on 12 month lease makes net rent $3,162.50 Be the first to live in these beautiful brand-new updated apartments at the KisselKar Lofts! This 3 bed 2 bath unit features: + Stainless steel appliances +Central AC +Laundry in unit + Incredible finishes throughout and desirable floor plans + Building includes a 1600 sq ft fitness facility including Echelon bikes, state-of-the-art rooftop REMOTE TOURS AVAILABLE For more information, to schedule a viewing or view similar listings, call or text The Apartment Source (773) 404 9902 $75 Application Fee, $350 Move In Fee FEATURES No Smoking Jesus Seda Leasing Consultant The Apartment Source 773-231-4393-Text or Call Average market time is 48hrs!Owner requires a 650 credit score and 3x gross monthly rentReach out to Jesus Seda from The Apartment Source']",poor,black,poor_black
"830 Foxworth Blvd - Lombard, IL 60148 Rental Information: $1400 - $1773/Month | 1 Bedroom 1 Bath | 741 sq ft Leasing Options: 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month, 14-Month, 15-Month, 16-Month, 17-Month, 18-Month (630) 883-0344 Apartment Amenities: ✓ Balcony or Patio ✓ Cable Ready ✓ Hardwood Flooring (select units) ✓ In-Home Washer/Dryer ✓ Marble Countertops (select units) ✓ Pond Views (select units) ✓ Stainless Steel Appliances (select units) ✓ Walk-in closets (select units) ✓ 1st Floor ✓ Balcony or Patio ✓ Classic Unit ✓ Hardwood Flooring* ✓ In-Home Washer/Dryer ✓ LOCATION Back ✓ Marble Countertops* ✓ Pond Views* ✓ Stainless Steel Appliances* ✓ Walk-in closets * Property Features: ✓ Arcade Games Room ✓ Bowling Alley ✓ Online Payments Available ✓ Onsite Maintenance ✓ Onsite Management ✓ Pet Park ✓ Soccer Field ✓ Tennis Court ✓ Building Elevator Access ✓ Cardio Equipment, Free Weights, Peloton Bike and more! ✓ Coffee Bar ✓ New 24-Hour State-of-the-Art Fitness Center ✓ Pet Friendly Bark Park ✓ Ping Pong Table and Pool Table ✓ Resort Style Heated Pool with Luxurious Cabanas (Coming Soon) ✓ Scenic Ponds Description: YES, WE ARE OPEN! CALL NOW TO SCHEDULE AN IN-PERSON TOUR! OR LET US SHOW YOU THROUGH FACETIME! Enjoy the luxurious life at Residences at Lakeside where you will find only the best community and apartment amenities in Lombard! Coming soon you can de-stress in our heated pool with luxurious cabanas, wind down in our game room, or bowl a strike in our two-lane bowling alley. Workout whenever is convenient for you in our 24-hour fitness center, or head over to the volleyball or tennis court to get your workout in. Finally, you and your furry friend can socialize in our on-site bark park! Pets: Breed Restriction;We allow pets for a pet fee of $350 per pet and rent of $35 per pet per month. Call: Residences at Lakeside at (630) 883-0344 Website: https://www.residencesatlakeside.com/ EQUAL HOUSING OPPORTUNITY A77A78BF0C434281']",nonpoor,aawhite,nonpoor_aawhite
"180 WEST ADAMS UNIT 803 MOVE IN TODAY!!! The units at 180 Adams have such unique features - in-unit Washer and dryer, exposed brick, high ceilings, stainless steel appliances, large windows, and complimentary fiber internet! Near Quincy Brown Line Station and Corner Bakery Cafe! Parking Available off-site as well! *BJB Properties Inc. *Equal Housing Opportunity *Prices & Availability are subject to change *12 month minimum lease term unless otherwise specified *Units are leased unfurnished unless otherwise specified *Pictures are representative samples of the advertised unit. In some cases, the actual units you tour may vary from the pictures based on the specific floor plan available **Call Tommy Locascio at 847-720-7939 Contact me if interested!']",nonpoor,aawhite,nonpoor_aawhite
"ID: 115870307 Rent: $3,200 / Month Beds: 2 Bath: 1 Pet: Pet Friendly Please email a link to this ad with the following information: When is your move date?(is it flexible, if so how far in either direction)? Do you have any pets? (weight and breed)? Budget(just rent)?', ""Neighborhoods you're considering?"", 'When are you available for a showing? This West Loop luxury boutique building is what indulgence is about. Filled with extravagant and trendy details, this convenient community offers a modern fitness center with a private instructor, patio deck with gas grills and lounge, rooftop pool with striking city views. Take advantage of the 24-hour concierge service, private package room, and cyber cafe. Each residence offers spacious floor plans, an in-unit W/D and sophisticated details like quartz countertops, warm grey cabinetry, and stainless steel appliances. With easy expressway access for commuters and a straight shot into the Loop, getting to work is a breeze. Pets are welcome, but breed and weight restrictions apply. Parking is available at an additional cost. FEATURES Balcony-Some Units Central Air-Yes Dishwasher-All Dogs-Weight Limit Flooring-Hardwood Only Laundry- W/D In Unit Luxury Property New Property Pool-Outdoor Security-24 Hour Doorman Smoking-No Stove-Gas Disclaimer: Photos may not be of exact unit available and may be of various model units and various vacant units. Apartment availability and lease terms may vary. Pricing, availability, and specials are subject to change at any time and without notice. Please note that the price may be net effective of a special or concession that the building is currently running. Information is believed to be accurate, however, is subject to errors and omissions. HotSpot Rentals services the following neighborhoods: South Loop, Printers Row, Near North, River North, Gold Coast, West Loop, Fulton River District, West Loop Gate, The Loop, Streeterville, Lakeshore East, New East Side, Old Town, Medical District, University Village, Near North, River West, Lincoln Park South, Lakeview, Uptown, Ukrainian Village, Wicker Park, Edgewater, Ravenswood, Bronzeville, Logan Square']",nonpoor,aawhite,nonpoor_aawhite
"Fantastic view on the loop! Date: Move-in - Jul 30. Leas ends on Nov 6 with ability to renew. Price: $1869 + around $120 utility. It less than the current price! It is Presidential Towers https://www.presidentialtowersapts.com/gallery New appliances, wooden floor. Easy access to downtown and all the parks, restaurants, shops etc. New tenants will need to pay $65 per person for application. Management will do a background check. NO deposit needed. Additional fees (if applicable): Attached Garage - $265 gym and pool - $99 having a pet - $400 + $25 each month']",nonpoor,aawhite,nonpoor_aawhite
HAS STAINLESS STEEL APPLIANCES AND BEAUTIFUL HARDWOOD FLOORS FEATURES: -Pet Cats allowed -Close to the CTA Red Line -Walking distance to Wrigley Field -24 Hour Engineer AMENITES: -Wired Internet -Fitness -Laundry -Bike Storage UTILITIES INCLUDE: -Trash -Water Matt Byars Leasing Agent 847-809-1601 m b y a r s @ b j b p r o p e r t i e s . c o m BJB Properties inc Prices subject to change Pictures are for marketing purposes only and may not reflect actual unit'],nonpoor,aawhite,nonpoor_aawhite
"ID: 72671779 Rent: $3,275 / Month Beds: 3 Bath: 2 Available Date: 06/01/2022 Pet: Cats Only Rent Includes:: Water FEATURES Cats Ok Dishwasher Duplex Hardwood Floors High Ceiling Laundry in Unit Renovated Looking for something else?', ""Check out all my other available apartments here and let me know which of them you'd like to tour!"", 'https://ygl.is/Hadi Hadi Sharabi Realtor® MLS ID: 887241 ▪︎ The Apartment Source (773) 272-1860 Hadis@ ApartmentSourceChicago.com 2533 W. Fullerton Ave. Chicago, IL 60647 http://www.ApartmentSourceChicago.com/ The Apartment Source Call or text: 773.272.1860']",nonpoor,aawhite,nonpoor_aawhite
"This fabulous unit Offers a layout that opens right to the kitchen, floor to ceiling windows, large closets and an oversized bath. Building itself has a 24hour doorman, laundry on site and extra storage when available. This spacious apartment offers you a wonderful living environment in the heart of it all! Sundeck and fitness center. This is truly a great unit, please call us to take a look!  Prices are subject to change. ***Photos may be of a similar unit.*For faster response best to call or text 773-549-3474 with reference #2193379.']",nonpoor,aawhite,nonpoor_aawhite
"312-857-8306', ""De' Xeunxom"", 'Market rate: $1795-$2130 1 bedroom / 1 bathroom Gut rehab building, WALKUP building with *BALCONY*. -1 bedroom /1 bathroom -bedroom(s) fit Upto King size bed -stainless steel appliances (fridge, gas stove/oven, dishwasher, microwave) -granite counter-top -ample counter-top -ample kitchen cabinets -dark hardwood floors -generous closet space -spacious updated bathroom with TUB -*walk-in closet* -intercom entry -*balcony* -laundry in building -card operated laundry machine -street parking -tree line street -#81 Lawrence CTA bus -BUSES #11, #49, #49B and X49 all steps from building -CTA Brown Line Western stop few blocks away -short trip to Swedish Covenant -short trip Northeastern IL Unv (NEIU) -dog(s)/cat(s) welcomed (weight and breed restrictions) *SELECT unit* **Photo are for illustration purpose** ***Pricing and availability are subject to change*** North Star Real Estate Group 1249 W. Devon Ave, Chicago, IL 60660, Tel: 312-722-6773']",nonpoor,aawhite,nonpoor_aawhite
"ID: 300326496 Rent: $2,325 / Month Beds: 3 Bath: 1 Available Date: 08/01/2022 Pet: Pet Friendly Rent Includes:: Water This beautiful unit offers all you need! Hardwood floors Central Air Dishwasher Microwave Stainless Steel Appliances In unit Washer/Drier Big living room/dining area BIG bedrooms Nice space for office area Great closet space Updated kitchen with stainless appliances Open concept floorplan', ""This is a walker's paradise!"", 'Grocery shopping directly across the street but even better the beautiful BRAND NEW WHOLE FOODS just opened two blocks away. Walk to restaurants, bars, yoga, gyms, and the Brown Line! $500 move in fee $65 application fee All fees are non-refundable Optional parking at $100 Dogs will be considered with Mgmt approval - $200 pet fee No aggressive breeds Cats ok with $100 pet fee Responsive management! This beautiful unit offers all you need! Hardwood floors Central Air Dishwasher Microwave Stainless Steel Appliances In unit Washer/Drier Big living room/dining area BIG bedrooms Nice space for office area Great closet space Updated kitchen with stainless appliances Open concept floorplan', ""This is a walker's paradise!"", 'Grocery shopping directly across the street but even better the beautiful BRAND NEW WHOLE FOODS just opened two blocks away. Walk to restaurants, bars, yoga, gyms, and the Brown Line! $500 move in fee $65 application fee All fees are non-refundable Optional parking at $100 Dogs will be considered with Mgmt approval - $200 pet fee No aggressive breeds Cats ok with $100 pet fee Responsive management! FEATURES A/C Cats Ok Central Air Dogs Ok Hardwood Floors Laundry in Unit Modern Kitchen Patio Stainless Steel Appliances Greg Firak Leasing Agent 224-404-0319 The Apartment Source']",nonpoor,aawhite,nonpoor_aawhite
